Method,Scenario,ID_Bits,Devices,Fold_Count,Kernel,Gamma,Degree,Coef0,Mean_Fit_Seconds,Mean_Unique_Identifiers,Mean_Collision_Rate,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Verification_Acceptance_Rate,Unique_Identification_Rate,Combined_Authentication_Rate,Separation_Score,Device_Bootstrap_Intra_Mean,Device_Bootstrap_Intra_Mean_CI95_Low,Device_Bootstrap_Intra_Mean_CI95_High,Device_Bootstrap_Inter_Mean,Device_Bootstrap_Inter_Mean_CI95_Low,Device_Bootstrap_Inter_Mean_CI95_High,Device_Bootstrap_Authentication_Rate,Device_Bootstrap_Authentication_Rate_CI95_Low,Device_Bootstrap_Authentication_Rate_CI95_High
Kernel PCA,Single-sweep,128,295,20,rbf,0.0002498750624687656,3,1.0,0.12252947500383016,295.0,0.0,0.01636652542372881,0.04040402728415917,2.578983050847458,0.020148305084745764,4.40080040760177,0,55,0.0,2.0,8.0,5900,64.0839455782313,0.500655824829932,5.377669013116689,19,94,55.0,64.0,72.0,1734600,14,0.0,0.012372881355932203,0.003951343249164073,45,0.0030548829701372076,21,0.005683731119566471,0.9876271186440678,0.994406779661017,0.9876271186440678,61.50496252738384,2.578983050847458,2.297487288135593,2.8948389830508474,64.0839455782313,64.05752666320765,64.1094165801914,0.9876271186440678,0.9791525423728814,0.9942372881355933
Kernel PCA,Multi-sweep,128,295,5,rbf,0.0002498750624687656,3,1.0,1.5566694599809126,295.0,0.0,0.016144067796610165,0.040321909433783075,2.0874576271186442,0.016308262711864408,3.2822575096471023,0,54,0.0,1.0,6.0,1475,64.08520696414159,0.5006656794073562,5.377518854351279,18,92,55.0,64.0,72.0,433650,14,0.0,0.008813559322033898,0.0018920788654444827,41,0.001346708174795342,37,0.0016949152542372883,0.9911864406779661,0.9986440677966102,0.9911864406779661,61.997749337022945,2.087457627118644,1.8358644067796612,2.380389830508474,64.08520696414159,64.05744125446789,64.11286083246858,0.9911864406779662,0.9830508474576272,0.9972881355932203
