Method,ID_Bits,Bits_Per_Feature,Physical_Feature_Count,Devices,Fold_Count,Directed_Comparison_Definition,Mean_Fit_Seconds,Mean_Transform_Milliseconds,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,Fixed_Threshold_Normalized,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Verification_Acceptance_Rate,Unique_Identification_Rate,Combined_Authentication_Rate,Separation_Score,Separation_Score_Normalized,Device_Bootstrap_Intra_Normalized,Device_Bootstrap_Intra_Normalized_CI95_Low,Device_Bootstrap_Intra_Normalized_CI95_High,Device_Bootstrap_Inter_Normalized,Device_Bootstrap_Inter_Normalized_CI95_Low,Device_Bootstrap_Inter_Normalized_CI95_High,Device_Bootstrap_Verification_Rate,Device_Bootstrap_Verification_Rate_CI95_Low,Device_Bootstrap_Verification_Rate_CI95_High,Device_Bootstrap_Identification_Rate,Device_Bootstrap_Identification_Rate_CI95_Low,Device_Bootstrap_Identification_Rate_CI95_High
Direct-Scalar,12,4,3,295,20,query sweep versus every enrolled template,0.012120144997606986,0.1006762368576917,0.31677966101694915,0.026398305084745763,0.852679314167311,0,0.0,0.0,2.0,10,5900,2.045258849302433,0.1704382374418694,1.2988923333406748,0,0.0,2.0,4.0,12,1734600,2,0.16666666666666666,0.6745803066989507,0.04440677966101695,0.12285397209731351,0,0.12285397209731351,0,0.2445411045774242,0.9555932203389831,0.00847457627118644,0.007457627118644068,1.7284791882854837,0.14403993235712365,0.026398305084745763,0.02230225988700565,0.030778601694915246,0.1704382374418694,0.167053314404858,0.17576215698143663,0.955593220338983,0.9422033898305087,0.9676271186440676,0.008474576271186442,0.00033898305084745765,0.019322033898305085
PQM,12,4,3,295,20,query sweep versus every enrolled template,0.005159654992166906,0.04954649165067506,0.4455932203389831,0.03713276836158192,0.8165867612126069,0,0.0,0.0,2.050000000000182,5,5900,3.872161881701833,0.3226801568084861,1.719073739261403,0,1.0,4.0,6.0,8,1734600,2,0.16666666666666666,0.2110867058687882,0.05,0.09841980860140667,1,0.09841980860140667,1,0.19683961720281332,0.95,0.007796610169491526,0.007796610169491526,3.42656866136285,0.2855473884469042,0.03713276836158192,0.032175141242937855,0.04221786723163841,0.3226801568084861,0.32067063011645336,0.3248459178869288,0.95,0.9323686440677965,0.9650889830508476,0.007796610169491525,0.0015254237288135591,0.016271186440677966
Direct-Scalar,18,6,3,295,20,query sweep versus every enrolled template,0.009282959991833196,0.07380816889176997,1.0942372881355933,0.060790960451977405,1.4346594892550681,0,0.0,1.0,4.0,14,5900,3.0857384987893464,0.17142991659940812,1.6621933907843878,0,1.0,3.0,5.0,18,1734600,3,0.16666666666666666,0.6483419808601407,0.0852542372881356,0.2014795918367347,1,0.2014795918367347,1,0.4016954917560245,0.9147457627118644,0.01711864406779661,0.016271186440677966,1.991501210653753,0.11063895614743072,0.060790960451977405,0.05645951035781544,0.0653771186440678,0.1714299165994081,0.16838216944028084,0.1764692804617139,0.9147457627118645,0.8972881355932205,0.9303389830508476,0.01711864406779661,0.007961864406779661,0.02830932203389828
PQM,18,6,3,295,20,query sweep versus every enrolled template,0.004665679996833205,0.040592305476666764,1.147457627118644,0.06374764595103578,1.2966314321189754,0,0.0,1.0,4.0,7,5900,5.857111726046351,0.3253950958914639,2.21009255063155,0,2.0,6.0,9.0,11,1734600,3,0.16666666666666666,0.17325262308313155,0.06728813559322033,0.11180272108843538,2,0.11180272108843538,2,0.22360544217687073,0.9327118644067797,0.03610169491525424,0.03610169491525424,4.7096540989277065,0.26164744994042816,0.06374764595103578,0.05893573446327683,0.06903013182674199,0.3253950958914639,0.3239357376660646,0.3269528149301152,0.9327118644067796,0.913385593220339,0.9494957627118645,0.03610169491525423,0.025762711864406783,0.04779661016949153
Direct-Scalar,24,8,3,295,20,query sweep versus every enrolled template,0.012040130002424121,0.10392415255379187,2.0757627118644066,0.08649011299435028,1.6996521521109509,0,0.0,2.0,5.0,19,5900,4.5813847572927475,0.19089103155386447,2.14523778384406,0,2.0,4.0,7.0,24,1734600,4,0.16666666666666666,0.507527960336677,0.09050847457627119,0.22872650755217339,3,0.22141387063299894,2,0.4420944309927361,0.9094915254237288,0.039152542372881356,0.037796610169491526,2.505622045428341,0.1044009185595142,0.08649011299435028,0.08294491525423729,0.09033209745762713,0.19089103155386447,0.18776078538760135,0.19572131182981664,0.9094915254237288,0.8947457627118646,0.9232245762711865,0.039152542372881356,0.02983050847457627,0.04983050847457627
PQM,24,8,3,295,20,query sweep versus every enrolled template,0.005449540005065501,0.049047864730848725,2.209491525423729,0.09206214689265536,1.7759324316518608,0,0.0,2.0,6.0,11,5900,7.789928513778393,0.32458035474076635,2.779844582663838,0,2.0,8.0,12.0,15,1734600,4,0.16666666666666666,0.16059206733540873,0.08915254237288135,0.13061339790153348,3,0.12487230485414505,4,0.2497446097082901,0.9108474576271186,0.10576271186440678,0.10576271186440678,5.5804369883546645,0.232518207848111,0.09206214689265536,0.08734410310734463,0.09718944209039547,0.32458035474076635,0.3231621711537722,0.3259775308428456,0.9108474576271188,0.8893220338983051,0.929322033898305,0.10576271186440679,0.09220338983050848,0.12033898305084748
