Row_Type,Method,Scenario,Cohort_Protocol,Seed,ID_Bits,Devices,Fold_Count,Mean_Fit_Seconds,Mean_Fit_Seconds_Std,Mean_Transform_Milliseconds,Mean_Transform_Milliseconds_Std,Parameter_Count_Or_Stored_Floats,Approx_Model_Storage_KiB_Float32,Combined_Authentication_Rate,Combined_Authentication_Rate_Std,Descriptive_EER,Descriptive_EER_Std,Configuration
single_run,Linear PCA,Single-sweep,enrolled_cohort,,128,295,20,2.463441855000565,,1.3279427627942098,,512256.0,2001.0,0.985593220338983,,0.0,,
single_run,Linear PCA,Multi-sweep,enrolled_cohort,,128,295,5,2.7138703799806536,,1.4096609485272509,,512256.0,2001.0,0.992542372881356,,0.0,,
single_run,Linear PCA,Single-sweep,heldout_sensor_cohort,,128,30,20,2.434626109994133,,1.7677926669906203,,512256.0,2001.0,0.9983333333333332,,0.0,,
single_run,Linear PCA,Multi-sweep,heldout_sensor_cohort,,128,30,5,2.689499260007869,,1.459896667705228,,512256.0,2001.0,1.0,,0.0,,
single_run,Kernel PCA,Single-sweep,,,128,295,20,0.1225294750038301,,38.11247123751623,,1218350.0,4759.1796875,0.9876271186440678,,0.003951343249164,,"Kernel=rbf; Gamma=0.0002498750624687; Degree=3; Coef0=1.0; Eigen_Solver=auto; Frequency_Start_Hz=10000; Frequency_End_Hz=1000000; Frequency_Points=2001; Use_Phase=True; Sweep_Indices=1,2,3,4,5; Random_Seed=20260903"
single_run,Kernel PCA,Multi-sweep,,,128,295,5,1.5566694599809126,,38.46780976189805,,4873400.0,19036.71875,0.991186440677966,,0.0018920788654444,,"Kernel=rbf; Gamma=0.0002498750624687; Degree=3; Coef0=1.0; Eigen_Solver=auto; Frequency_Start_Hz=10000; Frequency_End_Hz=1000000; Frequency_Points=2001; Use_Phase=True; Sweep_Indices=1,2,3,4,5; Random_Seed=20260903"
single_run,Supervised autoencoder,Single-sweep,,20260903,128,295,20,3.020299660004093,,0.5999345424529796,,2174281.0,8493.28515625,0.9442372881355932,,0.0113008762827164,,"Method=supervised autoencoder; Epochs=100; Learning_Rate=0.001; Weight_Decay=0.0001; Reconstruction_Weight=1.0; Classification_Weight=0.25; Balance_Weight=0.05; Decorrelation_Weight=0.01; Quantization_Weight=0.01; Hidden_Widths=(256, 128); Seeds=[20260903, 20260904, 20260905]; Frequency_Start_Hz=10000; Frequency_End_Hz=1000000; Frequency_Points=2001; Use_Phase=True"
single_run,Supervised autoencoder,Multi-sweep,,20260903,128,295,5,8.026612719986588,,0.5441301681053966,,2174281.0,8493.28515625,0.9552542372881356,,0.0070436988354663,,"Method=supervised autoencoder; Epochs=100; Learning_Rate=0.001; Weight_Decay=0.0001; Reconstruction_Weight=1.0; Classification_Weight=0.25; Balance_Weight=0.05; Decorrelation_Weight=0.01; Quantization_Weight=0.01; Hidden_Widths=(256, 128); Seeds=[20260903, 20260904, 20260905]; Frequency_Start_Hz=10000; Frequency_End_Hz=1000000; Frequency_Points=2001; Use_Phase=True"
single_run,Supervised autoencoder,Single-sweep,,20260904,128,295,20,2.8079309900000227,,0.5439786779224651,,2174281.0,8493.28515625,0.9540677966101696,,0.010022483569699,,"Method=supervised autoencoder; Epochs=100; Learning_Rate=0.001; Weight_Decay=0.0001; Reconstruction_Weight=1.0; Classification_Weight=0.25; Balance_Weight=0.05; Decorrelation_Weight=0.01; Quantization_Weight=0.01; Hidden_Widths=(256, 128); Seeds=[20260903, 20260904, 20260905]; Frequency_Start_Hz=10000; Frequency_End_Hz=1000000; Frequency_Points=2001; Use_Phase=True"
single_run,Supervised autoencoder,Multi-sweep,,20260904,128,295,5,9.368771899992137,,0.8574003388047597,,2174281.0,8493.28515625,0.9708474576271188,,0.0073792228755909,,"Method=supervised autoencoder; Epochs=100; Learning_Rate=0.001; Weight_Decay=0.0001; Reconstruction_Weight=1.0; Classification_Weight=0.25; Balance_Weight=0.05; Decorrelation_Weight=0.01; Quantization_Weight=0.01; Hidden_Widths=(256, 128); Seeds=[20260903, 20260904, 20260905]; Frequency_Start_Hz=10000; Frequency_End_Hz=1000000; Frequency_Points=2001; Use_Phase=True"
