Cohort_Protocol,Scenario,ID_Bits,Frequency_Start_Hz,Frequency_End_Hz,Frequency_Points,Input_Features,PCA_Training_Devices,Template_Devices,Sweep_Indices,Fold_Count,Directed_Comparison_Definition,Mean_Fit_Seconds,Mean_Transform_Milliseconds,Intra_Mean,Intra_Mean_Normalized,Intra_Std_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER_Threshold,Descriptive_EER,Minimum_Balanced_Error_Threshold,Minimum_Balanced_Error,Empirical_Overlap_Coefficient,Verification_Acceptance_Rate,Unique_Identification_Rate,Combined_Authentication_Rate,Separation_Score,Separation_Score_Normalized,D_Prime,Device_Bootstrap_Intra_Mean,Device_Bootstrap_Intra_Mean_CI95_Low,Device_Bootstrap_Intra_Mean_CI95_High,Device_Bootstrap_Inter_Mean,Device_Bootstrap_Inter_Mean_CI95_Low,Device_Bootstrap_Inter_Mean_CI95_High,Device_Bootstrap_Verification_Rate,Device_Bootstrap_Verification_Rate_CI95_Low,Device_Bootstrap_Verification_Rate_CI95_High,Device_Bootstrap_Identification_Rate,Device_Bootstrap_Identification_Rate_CI95_Low,Device_Bootstrap_Identification_Rate_CI95_High,Device_Bootstrap_Combined_Authentication_Rate,Device_Bootstrap_Combined_Authentication_Rate_CI95_Low,Device_Bootstrap_Combined_Authentication_Rate_CI95_High
enrolled_cohort,Single-sweep,64,10000,1000000,2001,4002,295,295,"1,2,3,4,5",20,query sweep versus every enrolled template,1.7007482750050258,0.7865581354540694,1.6167796610169491,0.02526218220338983,0.02732622576264626,1.7488784488093607,0.0,0.0,1.0,5.0,17.0,5900,32.0701256773896,0.5010957137092125,0.06072284969699101,3.8862623806074246,13.0,26.0,32.0,38.0,51.0,1734600,8,0.0,0.008135593220338983,16,0.0001464314539375072,15,0.00010492332526230832,0.00020984665052461665,0.991864406779661,1.0,0.991864406779661,30.45334601637265,0.47583353150582264,10.105849557995219,1.6167796610169491,1.506584745762712,1.7356313559322032,32.070125677389605,32.05874103539721,32.08122512394788,0.9918644067796609,0.9852542372881355,0.9972881355932203,1.0,1.0,1.0,0.9918644067796609,0.9849152542372882,0.9969533898305085
enrolled_cohort,Multi-sweep,64,10000,1000000,2001,4002,295,295,"1,2,3,4,5",5,query sweep versus every enrolled template,1.7119422199903056,0.6484269833792065,1.2922033898305085,0.020190677966101696,0.022816427399473916,1.4602513535663306,0.0,0.0,1.0,4.0,13.0,1475,32.07840885506745,0.5012251383604289,0.06063174361796734,3.8804315915499097,12.0,26.0,32.0,38.0,50.0,433650,8,0.0,0.002711864406779661,13,1.1530035743110803e-06,13,1.1530035743110803e-06,0.0,0.9972881355932204,1.0,0.9972881355932204,30.786205465236943,0.48103446039432723,10.501036549548466,1.2922033898305085,1.1755932203389832,1.4115254237288135,32.07840885506745,32.06579038395019,32.0904566470656,0.9972881355932203,0.9932203389830508,1.0,1.0,1.0,1.0,0.9972881355932203,0.9932203389830508,1.0
heldout_sensor_cohort,Single-sweep,64,10000,1000000,2001,4002,265,30,"1,2,3,4,5",20,query sweep versus every enrolled template,1.4337692799948853,0.7592896675729813,1.6033333333333333,0.025052083333333332,0.023383906216519097,1.4965699978572222,0.0,0.0,1.0,5.0,10.0,600,31.591954022988507,0.4936242816091954,0.06561992305060933,4.199675075238997,16.0,24.0,32.0,38.0,47.0,17400,8,0.0,0.0033333333333333335,10,0.0,10,0.0,0.0,0.9966666666666667,1.0,0.9966666666666667,29.988620689655175,0.4685721982758621,9.512532466294509,1.603333333333333,1.3399583333333334,1.926708333333333,31.591954022988507,31.318106321839085,31.867183908045977,0.9966666666666666,0.99,1.0,1.0,1.0,1.0,0.9966666666666666,0.99,1.0
heldout_sensor_cohort,Multi-sweep,64,10000,1000000,2001,4002,265,30,"1,2,3,4,5",5,query sweep versus every enrolled template,1.8210860799998045,0.5556019981546948,1.2266666666666666,0.019166666666666665,0.01992496761482692,1.275197927348923,0.0,0.0,1.0,3.549999999999983,7.0,150,31.467586206896552,0.4916810344827586,0.06610933707080163,4.2309975725313045,15.0,24.0,32.0,38.0,47.0,4350,8,0.0,0.0,7,0.0,7,0.0,0.0,1.0,1.0,1.0,30.240919540229886,0.47251436781609196,9.678030769173805,1.2266666666666668,0.9400000000000001,1.52,31.467586206896552,31.151252873563223,31.782545977011495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
enrolled_cohort,Single-sweep,128,10000,1000000,2001,4002,295,295,"1,2,3,4,5",20,query sweep versus every enrolled template,2.463441855000565,1.3279427627942098,4.822372881355932,0.03767478813559322,0.025400333736802574,3.2512427183107295,0.0,1.0,4.0,11.0,32.0,5900,64.13844459817825,0.5010815984232676,0.04076937486575762,5.218479982816976,36.0,56.0,64.0,73.0,88.0,1734600,14,0.0,0.01440677966101695,32,0.0,32,0.0,0.0,0.985593220338983,1.0,0.985593220338983,59.31607171682232,0.4634068102876744,13.643431030579954,4.822372881355932,4.6079533898305085,5.055461864406779,64.13844459817825,64.1233136169722,64.15314801683385,0.985593220338983,0.9776228813559321,0.9927118644067797,1.0,1.0,1.0,0.985593220338983,0.9771186440677966,0.9922076271186442
enrolled_cohort,Multi-sweep,128,10000,1000000,2001,4002,295,295,"1,2,3,4,5",5,query sweep versus every enrolled template,2.7138703799806536,1.4096609485272507,3.8603389830508474,0.030158898305084746,0.021413045784778845,2.740869860451692,0.0,1.0,3.0,9.0,22.0,1475,64.14851608439986,0.5011602819093739,0.040649996071550475,5.203199497158461,38.0,56.0,64.0,73.0,87.0,433650,14,0.0,0.007457627118644068,22,0.0,22,0.0,0.0,0.9925423728813559,1.0,0.9925423728813559,60.288177101349014,0.47100138360428917,14.497701812383792,3.8603389830508466,3.6595932203389827,4.078694915254237,64.14851608439986,64.13146022137667,64.16597872708405,0.9925423728813559,0.9871186440677968,0.9972881355932203,1.0,1.0,1.0,0.9925423728813559,0.9871186440677968,0.9972881355932203
heldout_sensor_cohort,Single-sweep,128,10000,1000000,2001,4002,265,30,"1,2,3,4,5",20,query sweep versus every enrolled template,2.434626109994133,1.7677926669906203,4.161666666666667,0.032513020833333336,0.01923573477327885,2.462174050979693,0.0,1.0,4.0,9.0,15.0,600,63.48293103448276,0.49596039870689657,0.04816367002436112,6.164949763118224,37.0,53.0,64.0,73.0,88.0,17400,14,0.0,0.0016666666666666668,15,0.0,15,0.0,0.0,0.9983333333333333,1.0,0.9983333333333333,59.32126436781609,0.4634473778735632,12.637444431561656,4.161666666666667,3.7016250000000004,4.673458333333333,63.482931034482746,63.065734195402285,63.896344827586205,0.9983333333333333,0.9949999999999999,1.0,1.0,1.0,1.0,0.9983333333333333,0.9949999999999999,1.0
heldout_sensor_cohort,Multi-sweep,128,10000,1000000,2001,4002,265,30,"1,2,3,4,5",5,query sweep versus every enrolled template,2.6894992600078695,1.459896667705228,3.473333333333333,0.027135416666666665,0.017867971022412537,2.2871002908688047,0.0,0.0,3.0,7.0,12.0,150,63.413563218390806,0.49541846264367817,0.047493222601352976,6.079132492973181,41.0,53.0,64.0,73.0,81.0,4350,14,0.0,0.0,12,0.0,12,0.0,0.0,1.0,1.0,1.0,59.94022988505747,0.4682830459770115,13.051058301241618,3.473333333333334,2.9733333333333336,4.000166666666667,63.413563218390806,62.99514942528736,63.84258620689655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
enrolled_cohort,Single-sweep,256,10000,1000000,2001,4002,295,295,"1,2,3,4,5",20,query sweep versus every enrolled template,4.137628504991881,1.1973339149933626,26.107457627118645,0.10198225635593221,0.035769346608104324,9.156952731674707,0.0,13.0,25.0,41.0,79.0,5900,128.25734924478266,0.5010052704874323,0.026539654301941624,6.794151501297056,95.0,117.0,128.0,139.0,166.0,1734600,25,0.0,0.49627118644067797,79,0.0,79,0.0,0.0,0.5037288135593221,1.0,0.5037288135593221,102.14989161766401,0.39902301413150004,12.66963386694436,26.107457627118645,25.337190677966102,26.860440677966103,128.25734924478266,128.23920549406205,128.2755520004612,0.5037288135593221,0.46457627118644074,0.5442415254237288,1.0,1.0,1.0,0.5037288135593221,0.46169067796610164,0.5437330508474576
enrolled_cohort,Multi-sweep,256,10000,1000000,2001,4002,295,295,"1,2,3,4,5",5,query sweep versus every enrolled template,4.474919040000532,1.8392797297466608,22.74508474576271,0.08884798728813559,0.02791589371743962,7.146468791664542,7.0,13.0,22.0,34.0,65.0,1475,128.26606710480803,0.5010393246281564,0.026184728594168587,6.703290520107158,94.0,117.0,128.0,139.0,164.0,433650,25,0.0,0.303728813559322,65,0.0,65,0.0,0.0,0.696271186440678,1.0,0.696271186440678,105.52098235904532,0.4121913373400208,15.230156440053213,22.745084745762714,22.174830508474574,23.332305084745762,128.26606710480803,128.24574409085668,128.28604715784618,0.696271186440678,0.6623728813559321,0.7301694915254238,1.0,1.0,1.0,0.696271186440678,0.6616949152542373,0.7301864406779661
