Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",1,0.49764342019979396,0.49764342019979396
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",2,0.16049157154362495,0.6581349917434189
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",3,0.03978521804614204,0.6979202097895609
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",4,0.03784566133393182,0.7357658711234928
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",5,0.023939153799219993,0.7597050249227127
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",6,0.017875573284976794,0.7775805982076895
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",7,0.017025086784186676,0.7946056849918762
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",8,0.013123863671780516,0.8077295486636568
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",9,0.011674082776536313,0.8194036314401931
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",10,0.01113843697990281,0.8305420684200959
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",11,0.009152259607744656,0.8396943280278406
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",12,0.008444564270749402,0.84813889229859
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",13,0.007600689664846078,0.855739581963436
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",14,0.007265360424556956,0.863004942387993
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",15,0.006358949269156201,0.8693638916571492
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",16,0.006335926105603607,0.8756998177627529
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",17,0.005998509779874696,0.8816983275426276
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",18,0.005534499758161032,0.8872328273007886
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",19,0.0049200600369935015,0.8921528873377821
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",20,0.0045797442665897374,0.8967326316043718
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",21,0.0041732458390779745,0.9009058774434497
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",22,0.0037465847768663,0.904652462220316
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",23,0.0033878821544310453,0.9080403443747471
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",24,0.0032482967382893298,0.9112886411130364
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",25,0.0031248061201413087,0.9144134472331777
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",26,0.0028633570933813434,0.9172768043265591
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",27,0.002835420438797041,0.9201122247653561
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",28,0.0026263272378267513,0.9227385520031829
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",29,0.0025438419616573608,0.9252823939648402
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",30,0.002439307176396573,0.9277217011412369
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",31,0.0023461699082394536,0.9300678710494763
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",32,0.0020868239774284375,0.9321546950269047
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",33,0.00203420161603633,0.934188896642941
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",34,0.0020095433999558565,0.9361984400428969
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",35,0.0018739584445597107,0.9380723984874566
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",36,0.0017525228278789996,0.9398249213153356
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",37,0.00169361853552534,0.9415185398508609
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",38,0.0016181327414931165,0.943136672592354
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",39,0.0015451693665887159,0.9446818419589427
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",40,0.0015163440654182728,0.9461981860243609
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",41,0.0014146140085763072,0.9476128000329372
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",42,0.001354309249417483,0.9489671092823547
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",43,0.0013389707256059244,0.9503060800079607
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",44,0.0012870787231044026,0.9515931587310651
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",45,0.0012640476729947367,0.9528572064040598
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",46,0.0012306282500128157,0.9540878346540727
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",47,0.0011322655235103056,0.955220100177583
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",48,0.0010986559302174472,0.9563187561078004
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",49,0.001048104404701295,0.9573668605125016
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",50,0.0010052556911450163,0.9583721162036467
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",51,0.0009974802463046716,0.9593695964499513
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",52,0.0009582911683726579,0.960327887618324
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",53,0.0009426088553631792,0.9612704964736871
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",54,0.0009182486084073571,0.9621887450820945
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",55,0.0008917623280020513,0.9630805074100965
1_Window_Selection,10k-1000k,500,128,1,"2,3,4,5",56,0.0008653422164546459,0.9639458496265512
