Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",54,0.0009181985633285545,0.9621884836469871
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",55,0.0008917080550798243,0.9630801917020669
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",56,0.0008652425319973629,0.9639454342340643
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",57,0.0008569050375792065,0.9648023392716435
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",58,0.0008214714587241555,0.9656238107303676
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",59,0.0008027090751944494,0.966426519805562
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",60,0.0007702229552458427,0.9671967427608079
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",61,0.0007513507365976,0.9679480934974055
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",62,0.0007049513221420361,0.9686530448195475
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",63,0.0006955911901449388,0.9693486360096925
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",64,0.0006926636662431717,0.9700412996759357
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",1,0.49867141177732816,0.49867141177732816
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",2,0.15870532753100353,0.6573767393083316
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",3,0.039827115403326174,0.6972038547116578
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",4,0.037929546653822005,0.7351334013654798
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",5,0.02398877312065532,0.7591221744861351
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",6,0.017885595476418496,0.7770077699625536
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",7,0.01699709025136226,0.7940048602139159
