Method,Scenario,Seed,ID_Bits,Devices,Fold_Count,Mean_Fit_Seconds,Mean_Unique_Identifiers,Mean_Collision_Rate,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Verification_Acceptance_Rate,Unique_Identification_Rate,Combined_Authentication_Rate,Separation_Score,Device_Bootstrap_Intra_Mean,Device_Bootstrap_Intra_Mean_CI95_Low,Device_Bootstrap_Intra_Mean_CI95_High,Device_Bootstrap_Inter_Mean,Device_Bootstrap_Inter_Mean_CI95_Low,Device_Bootstrap_Inter_Mean_CI95_High,Device_Bootstrap_Authentication_Rate,Device_Bootstrap_Authentication_Rate_CI95_Low,Device_Bootstrap_Authentication_Rate_CI95_High
Supervised autoencoder,Single-sweep,20260903,128,295,20,3.0202996600040932,294.0,0.003389830508474545,0.0016949152542372614,0.3290768869262958,1.6147457627118644,0.01261520127118644,3.750918226704177,0,75,0.0,1.0,5.0,5900,64.21217110573043,0.501657586763519,25.88255096051173,0,124,19.0,67.0,102.0,1734600,14,0.02611668396172028,0.00711864406779661,0.011300876282716477,10,0.011300876282716477,10,0.022601752565432953,0.9928813559322034,0.9444067796610169,0.9442372881355933,62.59742534301857,1.6147457627118642,1.3781271186440678,1.9173050847457627,64.21217110573042,64.20968848725933,64.21458823359853,0.9442372881355933,0.9303347457627118,0.9571228813559323
Supervised autoencoder,Multi-sweep,20260903,128,295,5,8.026612719986588,294.4,0.002033898305084736,0.002876059322033879,0.3245802568502244,1.2135593220338983,0.00948093220338983,2.8477571947774263,0,68,0.0,1.0,4.0,1475,64.21348091779085,0.501667819670241,25.492166789097926,0,122,20.0,67.0,102.0,433650,14,0.024307621353626196,0.006101694915254237,0.00704369883546639,8,0.00704369883546639,8,0.01408739767093278,0.9938983050847457,0.9552542372881356,0.9552542372881356,62.999921595756945,1.2135593220338983,1.000677966101695,1.506457627118644,64.21348091779085,64.21037691686846,64.21662204542834,0.9552542372881354,0.9383050847457628,0.9701694915254239
Supervised autoencoder,Single-sweep,20260904,128,295,20,2.8079309900000227,294.6,0.0013559322033898091,0.0016949152542372614,0.32563568421888806,1.7118644067796611,0.013373940677966102,3.746596341804024,0,78,0.0,1.0,6.0,5900,64.21183673469388,0.5016549744897959,25.411028512240243,0,124,21.0,66.0,102.0,1734600,14,0.020682001614205005,0.006271186440677966,0.010022483569699066,11,0.010022483569699066,11,0.01961316730081863,0.9937288135593221,0.9540677966101695,0.9540677966101695,62.499972327914215,1.7118644067796611,1.4786440677966104,2.0174957627118646,64.21183673469388,64.20990654906029,64.21381551942812,0.9540677966101695,0.9413559322033898,0.9652542372881356
Supervised autoencoder,Multi-sweep,20260904,128,295,5,9.368771899992135,294.4,0.0020338983050847137,0.002918432203389812,0.32260898705830915,1.256271186440678,0.009814618644067796,3.014790484126337,0,79,0.0,1.0,4.0,1475,64.21325492909028,0.5016660541335178,25.229116153763286,0,123,21.0,66.0,102.0,433650,14,0.019481148391560014,0.005423728813559322,0.0073792228755909135,10,0.007154387178600254,9,0.014308774357200507,0.9945762711864407,0.9708474576271187,0.9708474576271187,62.956983742649605,1.256271186440678,1.0447457627118644,1.5389999999999997,64.21325492909027,64.21097411506976,64.2154941196818,0.9708474576271185,0.9566101694915256,0.9823728813559323
Supervised autoencoder,Single-sweep,20260905,128,295,20,3.16506160000572,292.4,0.00881355932203387,0.0016949152542372614,0.3484131346063637,1.765084745762712,0.013789724576271187,3.721268584895958,0,75,0.0,1.0,6.0,5900,64.2117952265652,0.5016546502075406,27.04252251054339,0,123,19.0,66.0,105.0,1734600,14,0.02866712786809639,0.00576271186440678,0.012333102732618471,10,0.012274876052115762,9,0.024549752104231524,0.9942372881355932,0.9106779661016949,0.9101694915254237,62.44671048080249,1.7650847457627121,1.527936440677966,2.069724576271186,64.2117952265652,64.20918018563358,64.21452248356971,0.9101694915254237,0.8920338983050846,0.9261016949152542
Supervised autoencoder,Multi-sweep,20260905,128,295,5,9.44979469999671,293.8,0.004067796610169472,0.002775423728813539,0.3434726231648188,1.3193220338983052,0.010307203389830509,3.0052644133341824,0,72,0.0,1.0,4.0,1475,64.21351320189092,0.5016680718897728,26.70878727719424,0,125,19.0,66.0,104.0,433650,14,0.027019485760405856,0.006101694915254237,0.01056612475498674,9,0.01056612475498674,9,0.021132249509973482,0.9938983050847457,0.9477966101694916,0.9471186440677966,62.894191167992616,1.3193220338983052,1.0983050847457627,1.619067796610169,64.21351320189092,64.21111472385564,64.21589772858296,0.9471186440677966,0.928135593220339,0.9633898305084747
