#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm),Trace Rp (Ohm),Trace Xp (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,19.76767773214428,-87.38793197114659,1064.161093902632,48.49743614649977,-1063.055423044002,23350.48868058108,1065.26791475591,4.282565618558673e-05,0.0009387309860253648,-0.003383810507161977,-0.003390853087011978,2.994292482628302e-09,2.988073533189314e-09,0.7041807647325051,0.03297577615571504,-0.703408236805757,0.0006617233169671289
50017.33168269227,19.75913504055754,-87.44158600491525,1063.293014983609,47.46317866057413,-1062.23315820227,23820.40283897113,1064.353929250669,4.198081815660817e-05,0.0009395370961838078,-0.003380021527667919,-0.003386769812395706,2.99557197062693e-09,2.98960316444873e-09,0.7040829738612355,0.03231288091312443,-0.7033411062979154,0.0006621715818155802
50034.66937312904,19.75559897662313,-87.3718753233256,1062.774397525282,48.73176167960516,-1061.656552487116,23177.68496573622,1063.893419570764,4.314494745606858e-05,0.0009399437778301685,-0.003377016183202129,-0.003384131418655116,2.99616035230288e-09,2.989860837383329e-09,0.7042492159251206,0.03317673647498252,-0.7034673142996885,0.0006626511335348685
50052.01307339279,19.75423781070814,-87.36454197557158,1062.608626234846,48.86002146818006,-1061.48471060625,23109.6315273634,1063.733731881844,4.327200106223809e-05,0.0009400848821733862,-0.003375299580093455,-0.003382450997811754,2.995607017192953e-09,2.989273492446054e-09,0.7039794299665846,0.03325433628203386,-0.7031935629217028,0.000662500619419253
50069.36278556673,19.74593191641248,-87.36648283517924,1061.678851461337,48.7813435935456,-1060.557572297455,23106.41529335412,1062.801316102553,4.327802418956872e-05,0.0009409096364945668,-0.003371182908549764,-0.003378315072766481,2.997186847852986e-09,2.990859306363623e-09,0.7040718982769545,0.0332351875012852,-0.703287039732049,0.0006631679061542475
50086.7185117348,19.73132167031984,-87.40174103388917,1060.100805084713,48.05716033243196,-1059.010966082051,23384.93804393261,1061.191765651825,4.276256785976208e-05,0.0009423367504041661,-0.003365100271062741,-0.003372029953056997,3.000523932235699e-09,2.994357712790437e-09,0.7042958100355521,0.03281313712263253,-0.7035310128670987,0.0006643663024766316
50104.08025398164,19.72664835843653,-87.35185804052294,1059.490443326594,48.95094060786941,-1058.359015133328,22931.53074406758,1060.623081061933,4.360807881343471e-05,0.0009428420122620423,-0.003361863304754576,-0.003369055079999163,3.00133189742604e-09,2.994925084854516e-09,0.7040703518637697,0.03341524119717144,-0.7032769596889317,0.0006645362383223396
50121.44801439264,19.71476102495713,-87.31731694439426,1058.099488309543,49.52386658399625,-1056.939881828426,22606.76728990925,1059.260367036333,4.423454212519627e-05,0.0009440549567599371,-0.003356192077604248,-0.003363560513789569,3.004320330794847e-09,2.997738869707119e-09,0.7040755933054536,0.03383976858997329,-0.7032619079334551,0.0006654147767542288
50138.82179505389,19.71786270032187,-87.32576707855853,1058.461213863868,49.38486284765463,-1057.308505865573,22685.90164379447,1059.615178577418,4.408024048158303e-05,0.0009437388404935325,-0.003356199229600013,-0.00336352126771423,3.002232218466181e-09,2.9956966692659e-09,0.7040457908173293,0.03373492832359611,-0.7032371080784919,0.000665159216723154
50156.2015980522,19.71224493542844,-87.36496089759066,1057.900596150315,48.63581385486655,-1056.782015813037,23010.89634635995,1059.020360480083,4.345767261509517e-05,0.0009442689086229396,-0.003353365610401287,-0.00336046829375356,3.002687101713565e-09,2.996340624429708e-09,0.7039718886457311,0.03325067979195693,-0.7031861860821857,0.0006654418496471812
