#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm),Trace Rp (Ohm),Trace Xp (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,19.23885939325791,-87.78236206138241,1007.07952708839,38.96936573935248,-1006.325276644907,26025.80654414899,1007.834342849813,3.842340095411244e-05,0.0009922265569680235,-0.003203232842727118,-0.003208036349646392,3.163091433468086e-09,3.15835522417026e-09,0.703761458720053,0.02811594607612018,-0.7031996049174243,0.0006988136331177771
50017.33168269227,19.22816137450645,-87.82956746935164,1006.0284676697,38.10044561851652,-1005.306736178324,26563.81733419871,1006.750717307753,3.7645191856992e-05,0.0009932945492943813,-0.003198881887610282,-0.003203476629607677,3.16519899894196e-09,3.160659158496072e-09,0.7038843050914776,0.02754169066066084,-0.7033452709940295,0.0006996658361793355
50034.66937312904,19.23251863786365,-87.83822682355745,1006.504769588063,37.96647554872896,-1005.788445915904,26682.79940557811,1007.221603426755,3.747732705253361e-05,0.0009928301742117265,-0.003199305698983991,-0.003203864420065575,3.162586807634116e-09,3.158086819725139e-09,0.7038720379816258,0.02743521909922583,-0.7033371557122406,0.0006993225495143037
50052.01307339279,19.22390072126258,-87.74718152321199,1005.434430878434,39.52259136394794,-1004.657334401994,25577.73566735231,1006.21212843438,3.909650224732014e-05,0.0009938262238559515,-0.003194600397972884,-0.003199544318118139,3.165050349856685e-09,3.160159729621549e-09,0.7036956696379117,0.02854596705808388,-0.7031164364682907,0.0006998916004515727
50069.36278556673,19.21826446766242,-87.7545300909326,1004.851069126618,39.37088041596414,-1004.079481365982,25646.5098178369,1005.623249816084,3.899166035077841e-05,0.000994408194304266,-0.003191656610469359,-0.003196563770579932,3.165774489043872e-09,3.160914594667704e-09,0.7037030261860343,0.02845639147453929,-0.7031274300207824,0.0007003052400039494
50086.7185117348,19.20575050110078,-87.80256339856827,1003.612365552359,38.48161158284045,-1002.874342008803,26174.52177441408,1004.35093221356,3.820509152444238e-05,0.0009956679163885763,-0.003186721222180637,-0.003191413217124429,3.168480451762671e-09,3.163822172421279e-09,0.7036013779274103,0.02786320346323527,-0.7030494583698339,0.0007010683055716866
50104.08025398164,19.19830573598814,-87.81459481025138,1002.847584106236,38.24185579590169,-1002.118175373045,26298.4956147315,1003.577523751962,3.802498875410329e-05,0.0009964352292998876,-0.003183215026887486,-0.003187850627561533,3.169772536922205e-09,3.165163224433817e-09,0.7036999757005291,0.02771976173297077,-0.703153802955223,0.0007017012645089381
50121.44801439264,19.19892326469729,-87.85070074741758,1002.975399648048,37.61513949300134,-1002.269800792224,26743.47791495842,1003.681495246112,3.739229441959268e-05,0.0009963320084473519,-0.003182593469007634,-0.003187076143778068,3.16819480432826e-09,3.163738686470861e-09,0.7036790426957656,0.02727614708973187,-0.7031502022535218,0.0007015909709740243
50138.82179505389,19.18870037405793,-87.7978091219406,1001.805685738978,38.4954042248164,-1001.065799951488,26071.02463758403,1002.546118374616,3.835675865836122e-05,0.0009974603478803106,-0.003177668814671646,-0.003182367768216145,3.170906109590189e-09,3.166224079860079e-09,0.7036180137990484,0.02792312159281147,-0.7030637301290907,0.0007023492332725151
50156.2015980522,19.18356807254354,-87.82753162411008,1001.316645409778,37.95755228859613,-1000.596946127136,26414.63856129419,1002.036862350465,3.785779607317121e-05,0.0009979672780243965,-0.003175079949135801,-0.003179649070745479,3.171292637346787e-09,3.166735523842273e-09,0.7038482884769407,0.0275677259338001,-0.7033082067477655,0.0007029222300468902
