#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm),Trace Rp (Ohm),Trace Xp (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,19.10698958380123,-87.59764436417372,992.8887599134721,41.61865129190097,-992.0161175238816,23687.17051036095,993.7621699364979,4.221694607055715e-05,0.001006276984828171,-0.003157685374615126,-0.003163243232062434,3.208716880309434e-09,3.203079125100232e-09,0.7033003754139636,0.03036295780792914,-0.7026446533281073,0.0007083369745089634
50017.33168269227,19.10330263509734,-87.60210940997248,992.5116666597346,41.52556644156861,-991.6425947827125,23722.23892097432,993.381500188113,4.215453707094389e-05,0.001006662596203607,-0.003155402646054286,-0.003160935835881253,3.208813227389124e-09,3.203196228617785e-09,0.7033305791476047,0.03030980845069709,-0.7026771798456152,0.0007086365301003642
50034.66937312904,19.09417105239192,-87.60573290970127,991.565561766237,41.42332871863707,-990.6999400013411,23735.47210459776,992.4319398661336,4.213103474804244e-05,0.001007625772438246,-0.003151310772061109,-0.00315682007877523,3.210753470238577e-09,3.2051500385543e-09,0.7030684415111185,0.03025439554676493,-0.7024171872889877,0.0007090483099060282
50052.01307339279,19.08201514157211,-87.61760205228619,990.3198966456762,41.16631808447119,-989.4639113922603,23823.68750296996,991.1766224119552,4.197503009873412e-05,0.001008901922612515,-0.003146288487502081,-0.003151734550669864,3.21365035260445e-09,3.20809730156602e-09,0.7031136070243326,0.03011112561572604,-0.7024685505393972,0.000709985786618051
50069.36278556673,19.07049500287594,-87.64053665403989,989.1612878647824,40.72254942123514,-988.3226838330435,24026.9842462294,990.0006034624234,4.161987163066175e-05,0.00101010039438623,-0.003141570648213251,-0.00314690423322951,3.216246332374781e-09,3.210795221703597e-09,0.7032922190633457,0.02983782013269364,-0.702658985486398,0.0007109979646025008
50086.7185117348,19.06813085960561,-87.52823928414708,988.7205728751542,42.64053504358825,-987.8006661253927,22925.79983406112,989.6413363042612,4.361897980607371e-05,0.001010467088747952,-0.003138823294372733,-0.003144672185381637,3.216830942920094e-09,3.210847841194365e-09,0.7030779068316878,0.03120573894152688,-0.702385040367419,0.0007110981294169027
50104.08025398164,19.06996566811019,-87.56433445889101,988.9738890217454,42.02899763529901,-988.0804200694231,23271.29858422657,989.8681658908653,4.297138796877482e-05,0.001010235538891198,-0.003138624284274097,-0.00314430303504713,3.214805805811722e-09,3.208999723906951e-09,0.7032881138208376,0.03077274868280865,-0.702614552212076,0.0007111285385092789
50121.44801439264,19.05433794669284,-87.50071001269053,987.240356976359,43.05059725340981,-986.3012564723485,22639.48898793994,988.1803516389754,4.417060829123397e-05,0.001011961023452268,-0.003131887177326668,-0.003137854029765227,3.219488928527049e-09,3.213366841526867e-09,0.7031960737601847,0.03154912938079667,-0.7024879860802268,0.0007122840055924777
50138.82179505389,19.04563322417606,-87.52984183260074,986.3880757721287,42.51237810873483,-985.4715286262625,22886.54456207738,987.3054753613644,4.369379559625542e-05,0.001012857747632757,-0.00312816814280762,-0.003133989613632199,3.221083074406915e-09,3.21509982511354e-09,0.7028775019231417,0.03117812355028594,-0.7021856644233057,0.0007125764810452812
50156.2015980522,19.0372309042172,-87.51651963360962,985.4943252610213,42.7027876825376,-984.5687061073066,22743.22398672879,986.4208146138521,4.396914002093651e-05,0.001013766118055268,-0.00312421936665664,-0.003130096450936697,3.222919546925785e-09,3.216868177550423e-09,0.7030644763713231,0.03135003625044755,-0.702365170806738,0.0007134124467995291
