#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.88909279287604,-87.82539376315937,788.6916961011228,4.811122954849952e-05,0.001267009449785622,-0.002508675670036468,-0.002512292913345269,4.038831517860771e-09,4.033016337550484e-09,0.7023850547852857,0.02753384800643486,-0.7018451769440945,0.000890569158756421
50017.33168269227,16.87916024774944,-87.81891936065986,787.875343908269,4.830439935436222e-05,0.001268316803553786,-0.002505199855881747,-0.002508833649499386,4.04163273625686e-09,4.035778837077541e-09,0.7022858772206282,0.02760956271772076,-0.7017429482296801,0.000891366036358594
50034.66937312904,16.87622522906597,-87.84652104511456,787.6854732080973,4.770489092919381e-05,0.001268645658473178,-0.002503773895420905,-0.002507314196899296,4.041132474342091e-09,4.035426437463672e-09,0.7026041689053164,0.02728416763651998,-0.7020742071601211,0.0008919849830808804
50052.01307339279,16.87485720074703,-87.81586564885733,787.5214596035081,4.839373384462727e-05,0.001268884162835441,-0.002502334439485833,-0.002505974257437001,4.040655376718532e-09,4.034786501597002e-09,0.7022486131077561,0.02764610829110429,-0.7017042163961419,0.0008917192655863973
50069.36278556673,16.86789231824942,-87.82092708612029,786.9664819911429,4.83156907781671e-05,0.001269783267317409,-0.002499712939066259,-0.002503332095245075,4.042090160555154e-09,4.036246367153675e-09,0.7024698384319371,0.02759311622134167,-0.7019276984446385,0.0008926292268225785
50086.7185117348,16.86944448752575,-87.8373371224725,787.1205019466339,4.794262821748644e-05,0.001269548585511126,-0.002499362947870057,-0.002502927248703863,4.039854998371187e-09,4.03410203110192e-09,0.7021989618013061,0.02738182004893691,-0.7016648900191884,0.0008921104250452049
50104.08025398164,16.84866686722057,-87.82457817214699,785.418991927402,4.832981137141184e-05,0.001272288169703694,-0.002493074883371011,-0.002496672331542503,4.047238066793544e-09,4.041406412795926e-09,0.7023836445268913,0.02754561900263006,-0.7018433037171761,0.0008942782068756258
50121.44801439264,16.85046275274931,-87.83711449527847,785.5856949258942,4.804123680025072e-05,0.00127202872925441,-0.002492760622657865,-0.002496316240645186,4.044943586299163e-09,4.039182187186754e-09,0.7022718237847473,0.02738800036178204,-0.7017375662725619,0.0008939460981066356
50138.82179505389,16.83998967060455,-87.86963756792571,784.7969411618668,4.736673920985957e-05,0.001273334263496005,-0.002489447868138666,-0.002492892677255694,4.047519768401627e-09,4.041926694489239e-09,0.7024000274997598,0.02699489894044457,-0.7018810968126001,0.0008950079098097492
50156.2015980522,16.83571982811526,-87.84713708788674,784.4135764791599,4.789017723425435e-05,0.001273937868689689,-0.002487333066112196,-0.002490848106641536,4.048154146650013e-09,4.042441463545593e-09,0.7021781362185711,0.02726222236373336,-0.701648705703343,0.0008951624493733947
50173.58742547514,16.82066812667326,-87.85812337073206,783.2203147739334,4.77184929227981e-05,0.001275887927923749,-0.002482706564317358,-0.002486179316348706,4.052887624747153e-09,4.047226458780919e-09,0.7022459376429884,0.02713060896685569,-0.7017216592019713,0.0008966128255103946
50190.97927941096,16.82624300933391,-87.90519254770273,783.7507217442379,4.663873519192804e-05,0.001275063209335401,-0.002483602479067577,-0.002486925340135729,4.048618357505886e-09,4.04320886808421e-09,0.7021397449036711,0.02655041820976376,-0.7016375821364467,0.0008958705451933491
50208.37716194867,16.81166138413089,-87.89690055439861,782.5630962509066,4.68943245963948e-05,0.001276991484575706,-0.002478966604297311,-0.002482309595580239,4.053379050049609e-09,4.047920258424726e-09,0.7022635303420693,0.02665696622523993,-0.7017574169185339,0.0008973883060697325
50225.78107517795,16.81799737024714,-87.86433644816498,783.0160750082246,4.759254774046464e-05,0.001276225895407476,-0.002479489884748351,-0.002482938026763604,4.049715588360087e-09,4.044091608091739e-09,0.7022097572731341,0.02705404153924731,-0.701688408088652,0.0008968004876735156
50243.19102118928,16.80712055732402,-87.8908451684739,782.1875554827399,4.705186450766749e-05,0.001277599623023972,-0.002476050491267033,-0.002479408823223327,4.05253092979777e-09,4.047041821265956e-09,0.7023077109723503,0.02673342799839645,-0.7017987209440303,0.0008978756389488048
50260.6070020738,16.79577838182332,-87.88946534479197,781.2743731566675,4.713766416244682e-05,0.001279091793802358,-0.002472300594043406,-0.002475658232757199,4.05586537774163e-09,4.050364565703018e-09,0.70209808707588,0.02674265169347266,-0.7015885934477638,0.0008986567986387138
50278.02901992342,16.79411232727041,-87.89559888628395,781.1512929850694,4.700814203922279e-05,0.001279298370312568,-0.00247106429714137,-0.002474400761772283,4.055082822065099e-09,4.049614976831511e-09,0.7023302663341888,0.0266766721901589,-0.7018234522797819,0.0008990956195441141
50295.45707683073,16.77947607281655,-87.87314690894617,779.9389904660308,4.758329203545471e-05,0.001281268307208335,-0.002466338714316638,-0.002469740300846708,4.060037309779565e-09,4.054445398670613e-09,0.7022296942605566,0.02694813523439187,-0.7017124350534653,0.0009003641847966613
