#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.624779274655,-88.14325874947778,768.125982759261,4.218133121400485e-05,0.001301186245385795,-0.002443737216206644,-0.002446305341088303,4.146157081472787e-09,4.141804456726663e-09,0.7014919625894762,0.02360969592524942,-0.7010945412966445,0.000913250462253942
50017.33168269227,16.61875963633788,-88.15120518348485,767.6661332437855,4.202602689558193e-05,0.001301971526783888,-0.00244143891044875,-0.002443982690498126,4.147184557870664e-09,4.142868027569361e-09,0.7015209368223544,0.02351373641609012,-0.7011267567279603,0.0009138352628451767
50034.66937312904,16.6109612332888,-88.13432025720141,767.0236960246066,4.244523406271792e-05,0.001303049569158228,-0.002438527155809993,-0.002441114555894692,4.149259512279061e-09,4.144861605434589e-09,0.7016252152195821,0.02372418719789772,-0.7012240052748651,0.0009147366166353819
50052.01307339279,16.6062497372336,-88.17157211630648,766.718211683725,4.161459849268043e-05,0.001303596076552293,-0.002436762402331431,-0.00243924564129168,4.149387358234999e-09,4.145163134083601e-09,0.7016687938955302,0.02327001996263808,-0.7012828263245482,0.0009151579134878457
50069.36278556673,16.59908672694326,-88.10258812864809,766.0360343584967,4.322255133933198e-05,0.001304705872516526,-0.002433655400021841,-0.002436326281685043,4.151805993207358e-09,4.147254475383252e-09,0.7014057293534143,0.02410561067249612,-0.7009913813335376,0.0009156294778041955
50086.7185117348,16.59388702241873,-88.15130596350774,765.7126629031522,4.213094689144965e-05,0.001305293163777174,-0.002431852748248601,-0.002434386263875115,4.152004641304211e-09,4.147683565065736e-09,0.7014826107150267,0.02351244111000349,-0.701088452514102,0.0009161165656774693
50104.08025398164,16.59023300162589,-88.1316828788088,765.3920240896912,4.259582773821195e-05,0.00130582546658055,-0.002429965098770001,-0.002432550713967964,4.152350820369155e-09,4.147937189308241e-09,0.7014725760386926,0.02375251981456385,-0.7010703193951504,0.0009164872351723173
50121.44801439264,16.57613253621899,-88.11535461000528,764.2590947342602,4.303165806414642e-05,0.001307748997879467,-0.00242550486103906,-0.002428131071447179,4.157104054815029e-09,4.152607827216458e-09,0.7013361705101692,0.02394795955900114,-0.7009271854471258,0.0009176673447620308
50138.82179505389,16.57399768709623,-88.12349697933372,764.1061139435645,4.28543900212682e-05,0.001308016924070494,-0.002424190360147196,-0.002426792499969892,4.156476168020368e-09,4.152019366641995e-09,0.7014739409107084,0.02385334060486938,-0.7010682619537045,0.0009180313719257231
50156.2015980522,16.57202914120811,-88.10479537011686,763.9195727066677,4.329189939735127e-05,0.00130832226725469,-0.00242273269487714,-0.002425385402071541,4.156095175903176e-09,4.151549546344955e-09,0.7013796432435031,0.02407924011217516,-0.7009661861687794,0.0009181321059977116
50173.58742547514,16.55392493481715,-88.17730147851117,762.6305237504085,4.170659849646063e-05,0.001310587508623025,-0.002417905754648805,-0.002420354349108518,4.161506581079229e-09,4.157296519043378e-09,0.701384855130501,0.02319264777803999,-0.7010012953593435,0.0009196908276754637
50190.97927941096,16.55307436456025,-88.13180075555356,762.4850613918312,4.275552691763898e-05,0.001310803994273374,-0.002416545057922507,-0.002419116068782496,4.160964661732604e-09,4.156542432691429e-09,0.7010697853966091,0.02373896954711889,-0.7006677567298845,0.0009194530663315659
50208.37716194867,16.54651600220168,-88.15519864935177,762.013853084064,4.224633779036949e-05,0.001311631920754622,-0.002414246764982423,-0.002416751350342857,4.162039873212587e-09,4.157726568852784e-09,0.7013277072751475,0.02346177038334914,-0.7009351598559556,0.00092036010392309
