#Digilent WaveForms Impedance Analyzer - Input
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB)
50000.00000000001,17.42366586935518
50017.33168269227,17.41371867365481
50034.66937312904,17.4079520659912
50052.01307339279,17.40387817892601
50069.36278556673,17.39441339039431
50086.7185117348,17.37999376950045
50104.08025398164,17.37914359824455
50121.44801439264,17.37439529315851
50138.82179505389,17.35793243538713
50156.2015980522,17.35127674413708
50173.58742547514,17.34155518046524
50190.97927941096,17.34462964312441
50208.37716194867,17.3344216027817
50225.78107517795,17.33079595360782
50243.19102118928,17.31915839005345
50260.6070020738,17.31493725729077
50278.02901992342,17.30423598542477
50295.45707683073,17.30389120069267
50312.8911748891,17.28958156026408
50330.33131619257,17.28058665112987
50347.77750283595,17.28002452881298
50365.22973691474,17.27481931698392
50382.68802052521,17.27180912027796
50400.15235576432,17.26492139118873
50417.62274472975,17.25014813182653
50435.09918951995,17.24506726216108
50452.58169223407,17.23345770314661
50470.07025497198,17.23291005145298
50487.56487983429,17.22066948982011
50505.06556892233,17.21984799431445
50522.5723243382,17.2101087430459
50540.08514818464,17.19803215337079
50557.60404256522,17.19431266376709
50575.12900958415,17.18946304717027
50592.66005134645,17.17915485654663
50610.19716995779,17.1746645406069
50627.74036752465,17.16799665970001
50645.28964615418,17.15835943712107
50662.84500795428,17.15194218625699
50680.40645503359,17.13662573993311
50697.97398950146,17.13361473065164
50715.54761346801,17.13113427291089
50733.12732904401,17.12473359241703
50750.71313834109,17.11058039391268
50768.30504347148,17.10862432331638
50785.90304654824,17.10876303361332
50803.5071496851,17.0991261040495
50821.11735499656,17.08989554398924
50838.73366459781,17.08873072774997
50856.35608060485,17.0817845453506
50873.98460513433,17.07715765805388
50891.61924030368,17.05980515931286
50909.25998823105,17.05435775370826
50926.90685103532,17.04848512164451
50944.55983083614,17.04625215482285
50962.21892975384,17.03062776368428
50979.88414990954,17.02930237229132
50997.55549342503,17.02151536660757
51015.2329624229,17.01629433953638
51032.91655902643,17.00835856589418
51050.60628535967,17.00176111560194
51068.30214354739,16.99194862884465
51086.00413571508,16.98680962917074
51103.712263989,16.97520858480181
51121.42653049613,16.96563562600292
51139.14693736417,16.96834687461055
51156.87348672161,16.95957201782077
51174.60618069761,16.95913328841473
51192.34502142212,16.94809062359795
51210.09001102581,16.93551756834885
51227.84115164009,16.93139365869534
51245.59844539708,16.91543466885213
51263.36189442969,16.91431054369083
51281.13150087155,16.90806760137766
51298.90726685703,16.90196324863372
51316.68919452121,16.8935686593595
51334.47728599996,16.88572433785852
51352.27154342984,16.88270900171057
51370.07196894819,16.87064099027372
51387.87856469309,16.86350652973985
51405.69133280334,16.86378172190045
51423.51027541847,16.85428274298937
51441.33539467879,16.84666429647254
51459.16669272532,16.83783566935295
51477.00417169987,16.83282232923293
51494.84783374491,16.82192554443283
51512.69768100374,16.81978445532506
51530.55371562033,16.80364356267583
51548.41593973945,16.80045979191926
51566.28435550658,16.78431514674112
51584.15896506795,16.79063405160858
51602.03977057055,16.77515230504155
51619.92677416209,16.76833150953352
51637.81997799105,16.76070989949302
51655.71938420663,16.75992784244928
51673.62499495879,16.75091093986136
51691.53681239823,16.74209809602848
51709.45483867639,16.73032745310228
51727.37907594546,16.72368240099866
51745.3095263584,16.71120717308508
51763.24619206888,16.70625204127915
51781.18907523134,16.70248463944905
51799.13817800094,16.69303289835344
51817.09350253361,16.68502073926918
51835.05505098605,16.67854641115488
51853.02282551564,16.6709787003226
51870.99682828058,16.65884950355575
51888.97706143976,16.6571587318147
51906.96352715286,16.65013042482301
51924.9562275803,16.63688199853681
51942.95516488323,16.63377658686072
51960.96034122355,16.61608513730329
51978.97175876394,16.61116226078648
51996.98941966781,16.60700820272985
52015.0133260993,16.58944076886753
52033.04348022334,16.58612695959455
52051.07988420557,16.57438895482764
52069.12254021243,16.56622746647995
52087.17145041106,16.5693055995891
52105.22661696939,16.54268694319565
52123.28804205608,16.54035543492499
52141.35572784054,16.53789652430545
52159.42967649292,16.52144235524125
52177.50989018417,16.51607093891781
52195.59637108595,16.50442565157543
52213.6891213707,16.49588561427687
52231.78814321158,16.48203486516243
52249.89343878254,16.47835735924463
52268.00501025825,16.47430971367909
52286.12285981417,16.45712385465933
52304.24698962647,16.44952090831809
52322.37740187211,16.44125961810803
52340.5140987288,16.43685836716863
52358.65708237498,16.43020625867552
52376.80635498988,16.40930435445413
52394.96191875346,16.40486580262797
52413.12377584643,16.40326987797997
52431.29192845031,16.38331208500824
52449.4663787473,16.36965523655437
52467.64712892041,16.37014717559403
52485.83418115338,16.36166793947785
52504.0275376307,16.34803049756301
52522.22720053767,16.34113953972414
52540.43317206029,16.33152273661941
52558.64545438533,16.32110320453262
52576.86404970034,16.30810652782401
52595.08896019363,16.30394894600299
52613.32018805421,16.2873416795153
52631.55773547194,16.27759671753453
52649.80160463735,16.27081324708623
52668.0517977418,16.26052790351756
52686.30831697737,16.24937031692226
52704.57116453691,16.2354772021901
52722.84034261402,16.22647071799155
52741.11585340308,16.22469068250254
52759.39769909923,16.21415410333137
52777.68588189834,16.20345691092961
52795.98040399708,16.19474323069962
52814.28126759287,16.1928759332835
52832.58847488387,16.17509873143002
52850.90202806902,16.16273397247992
52869.22192934804,16.15464840679627
52887.54818092136,16.14638044975347
52905.88078499024,16.14119978539917
52924.21974375664,16.1281948883117
52942.56505942334,16.12009162105877
52960.91673419383,16.10569887816226
52979.2747702724,16.10701785789071
52997.63916986409,16.09567442296317
53016.00993517473,16.08307250884194
53034.38706841085,16.07280502985433
53052.77057177983,16.06675308571336
53071.16044748974,16.06145950377923
53089.55669774946,16.05205590197325
53107.95932476863,16.03968744080927
53126.36833075764,16.03370572493493
53144.78371792767,16.02491265209194
53163.20548849062,16.02342092743103
53181.63364465923,16.00898745399692
53200.06818864695,16.00378920943797
53218.509122668,16.00089116121364
53236.9564489374,15.99195787731176
53255.41016967089,15.98254039289797
53273.87028708503,15.98542230065742
53292.33680339713,15.97569669926213
53310.80972082524,15.96726553936329
53329.28904158824,15.96167649239762
53347.77476790568,15.9595569620443
53366.266901998,15.96018074480153
53384.76544608633,15.94765136817992
53403.27040239258,15.94175630825277
53421.78177313945,15.93873631293649
53440.29956055041,15.93883941809449
53458.82376684967,15.9383817427843
53477.35439426224,15.93192836623769
53495.89144501391,15.93686483305683
53514.43492133121,15.92873150026456
53532.98482544145,15.92445280016501
53551.54115957275,15.91943750501464
53570.10392595394,15.91955782241145
53588.67312681467,15.91214400649699
53607.24876438533,15.90322728250713
53625.83084089713,15.9025717541891
53644.419358582,15.89030893708107
53663.01431967268,15.89342961878705
53681.61572640266,15.88046946775584
53700.22358100623,15.87341424078827
53718.83788571841,15.87724151925012
53737.45864277507,15.86536885467128
53756.08585441278,15.8521504809461
53774.71952286892,15.84636989490918
53793.35965038164,15.83770179925695
53812.00623918986,15.82113924649944
53830.6592915333,15.8156933938227
53849.31880965242,15.80491088096407
53867.98479578851,15.78424009896357
53886.65725218355,15.7764397203283
53905.33618108039,15.77615969033464
53924.02158472259,15.76440530693973
53942.71346535454,15.74211146468926
53961.41182522136,15.7382276065121
53980.11666656899,15.71506207295523
