#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.66713462419183,-88.05712375887505,771.3179593398396,4.395475145168779e-05,0.001295736878584241,-0.002453769896205351,-0.002456593552632267,4.129204771768802e-09,4.124458583462899e-09,0.7015841250817307,0.02466689207419111,-0.7011503611937298,0.0009095906075415835
50017.33168269227,16.66458254112327,-88.04208077770382,771.0900029489198,4.430803992842673e-05,0.001296108347302905,-0.00245217276775612,-0.002455038486252105,4.129031152100545e-09,4.124211414646597e-09,0.7015349942341038,0.02484954301980128,-0.7010947499067092,0.0009097957921486528
50034.66937312904,16.6673546352819,-88.02742113442575,771.2837047159933,4.462844861967961e-05,0.001295771463822785,-0.00245191731510397,-0.00245482583860906,4.126600001911718e-09,4.121710729152367e-09,0.7015363888354857,0.02502927885615116,-0.701089751786656,0.0009095691118291675
50052.01307339279,16.65443769268972,-87.99836573604017,770.2124402187678,4.534853084132162e-05,0.001297550882040199,-0.002447620248844039,-0.002450609908056464,4.130980331622781e-09,4.125940678692227e-09,0.7014572240908569,0.02538224789294878,-0.7009978450189069,0.0009107314197639571
50069.36278556673,16.64396626667093,-88.03925651584647,769.456956708239,4.446610065711833e-05,0.001298856934502571,-0.002444432479759803,-0.002447297406390783,4.133501399148888e-09,4.128662519245412e-09,0.7015575925487324,0.02488582014999406,-0.7011160757094616,0.0009117560522101886
50086.7185117348,16.64808354064137,-88.04225649474272,769.7869468841968,4.437906063068612e-05,0.001298302469487931,-0.00244463778830762,-0.002447494187916417,4.130290362846192e-09,4.125470020540622e-09,0.7015199258303543,0.02484808164834982,-0.7010797238370418,0.0009113162712875766
50104.08025398164,16.62845481429747,-87.99178340204298,768.152069623985,4.561963321726687e-05,0.001301025996598069,-0.002438526176348514,-0.002441524365657538,4.13777291759691e-09,4.132691736880795e-09,0.7014213055082612,0.02546239407921599,-0.7009589961678702,0.0009131274616424129
50121.44801439264,16.62346531815094,-87.99729182473875,767.7688441991987,4.551726044765236e-05,0.001301679774939838,-0.002436473255053247,-0.002439452495566204,4.138389810717902e-09,4.133335701812356e-09,0.7013081723225221,0.02539121357958894,-0.7008483707902246,0.000913435888038756
50138.82179505389,16.6244528996588,-88.01465487591649,767.8766592034858,4.511645864474353e-05,0.001301510742380046,-0.002435996712337158,-0.002438923904203213,4.136331304416778e-09,4.131366887393051e-09,0.7013148538486542,0.02517937152264299,-0.7008626994486751,0.00091331633633993
50156.2015980522,16.61198044852763,-88.00566621273427,766.880117361436,4.537953445318531e-05,0.001303194920379245,-0.002431979036624317,-0.002434927944072429,4.140293774759711e-09,4.135279522416236e-09,0.7011499345417237,0.0252836828563113,-0.7006939175482294,0.0009142881158467675
