#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,20.2935509773504,-87.76682712848513,1125.829966686502,3.461122269868831e-05,0.0008875590034756205,-0.003580906403605041,-0.00358635183618566,2.829484276392526e-09,2.825188053777233e-09,0.7045035800929577,0.0283364570925889,-0.7039334766604258,0.0006257632544847799
50017.33168269227,20.28310682281667,-87.71198588291256,1124.486897148859,3.550309671336068e-05,0.0008885855149397726,-0.003575260084233244,-0.003580967528147151,2.831989144803455e-09,2.827475443106439e-09,0.7042647078198312,0.0290006913283338,-0.7036673493796844,0.0006262982283438359
50034.66937312904,20.28105319136267,-87.77653868680676,1124.35384153259,3.450602449856673e-05,0.0008887301103929173,-0.003573756908133397,-0.003579144256649692,2.831217191680834e-09,2.826955627283542e-09,0.704366390938947,0.02821225931429527,-0.7038011658904385,0.0006264627807675321
50052.01307339279,20.27912080956326,-87.71055895290762,1124.008521489681,3.554034605457042e-05,0.0008889628102198802,-0.003571259284807676,-0.003576967462731777,2.831234111247371e-09,2.826715985706625e-09,0.7040587186847272,0.02901034150722777,-0.7034607874228768,0.0006263815160432584
50069.36278556673,20.27557555154223,-87.74130074183734,1123.638873336796,3.507490696755827e-05,0.0008892742032952438,-0.003568923777549622,-0.003574475898774593,2.83112380790308e-09,2.826726312149992e-09,0.7041904626443638,0.02863856325791471,-0.7036078740135059,0.0006267048265375764
50086.7185117348,20.26983611224058,-87.69473382692352,1122.873470979867,3.582205067341794e-05,0.0008898515532888271,-0.003565141386540584,-0.003570918920672901,2.832163665602677e-09,2.827581393473338e-09,0.704290293875385,0.02921485620955836,-0.7036840983166601,0.0006272209239712832
50104.08025398164,20.25407522746912,-87.76351375311437,1121.115667947801,3.480830581348512e-05,0.0008912891834580342,-0.003558496289984025,-0.003563923729808878,2.835486325992861e-09,2.831168211303761e-09,0.7040597544543294,0.02836112790094987,-0.7034882971780531,0.0006279987127773014
50121.44801439264,20.25169354112181,-87.79987240811123,1120.895414378861,3.424943473949886e-05,0.0008914862333308087,-0.003556651790819128,-0.003561901302211961,2.834991077514737e-09,2.830812882585318e-09,0.7043245594365073,0.02792551006032943,-0.7037707374659027,0.0006283583568063015
50138.82179505389,20.24629848066549,-87.82180928994059,1120.291843095461,3.392637659494677e-05,0.0008919795875186406,-0.003553556876488214,-0.003558697649122635,2.83549407225309e-09,2.831398014714936e-09,0.7042725942562903,0.02765432152870859,-0.7037294405673761,0.0006286505070486723
50156.2015980522,20.237878358353,-87.78090333195151,1119.220086009776,3.459628851999698e-05,0.0008928092684821352,-0.003548829819068624,-0.003554158587084786,2.837303612469187e-09,2.83304962875636e-09,0.7040976328549231,0.02815004994161304,-0.7035346837791232,0.0006290961736262816
50173.58742547514,20.24666329388801,-87.73302036330817,1120.180855686699,3.531209797103138e-05,0.0008920143141365771,-0.003550529236479115,-0.003556093356476513,2.833980525218393e-09,2.82954627500843e-09,0.7041763853543789,0.02874151656985951,-0.7035895869866347,0.0006286269061184716
50190.97927941096,20.23552133777281,-87.79992078296047,1118.973110383503,3.430751848308435e-05,0.0008930177625021542,-0.003545633648032139,-0.003550866666622824,2.835927111386939e-09,2.831747720638418e-09,0.7042532907345699,0.02792331981843789,-0.7036994995882745,0.0006293741324069865
50208.37716194867,20.22492422959501,-87.74148975929819,1117.613906169984,3.526104347458862e-05,0.0008940683257196865,-0.00353995915113338,-0.00354546528989818,2.83850487269443e-09,2.834096649672716e-09,0.7041855027520809,0.02863849838411484,-0.7036029126549321,0.0006300789014254594
50225.78107517795,20.216130150315,-87.78265575331294,1116.642885386611,3.464876632957219e-05,0.0008948709235229828,-0.003535757211042142,-0.003541057959479303,2.839909031674424e-09,2.835657860546025e-09,0.7040883646955568,0.02812939184025255,-0.7035262344890636,0.0006305398199047408
50243.19102118928,20.21914472002711,-87.83021648920395,1117.082731276857,3.389257949268448e-05,0.0008945470145822058,-0.003536036704594583,-0.003541112681877195,2.837716923741908e-09,2.833649223012384e-09,0.704404747157284,0.02755807660127645,-0.703865470265274,0.0006305747693951751
50260.6070020738,20.20988470682237,-87.83039835392327,1115.986021090381,3.392304445728393e-05,0.0008954262182416204,-0.00353134149857106,-0.00353640988533632,2.839521011153473e-09,2.83545140633411e-09,0.7043675365152299,0.0275546948220853,-0.7038283635161313,0.0006311611089718943
