#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm),Trace Rp (Ohm),Trace Xp (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.91653747978521,-87.70731532219985,790.7160720415602,31.63197859992638,-790.0831124095032,19765.81719697702,791.3495387568463,5.059239342519771e-05,0.001263664096615168,-0.00251491265586804,-0.002518943816132869,4.028815211769889e-09,4.022367747681166e-09,0.7004107257697046,0.02889873125046494,-0.6998142954422679,0.0008857922554293463
50017.33168269227,16.91094816415421,-87.67395174147977,790.2035956113193,32.07124263748254,-789.5525048486296,19469.83250930473,790.8552232847005,5.136151014766537e-05,0.001264453936140989,-0.002512352813509446,-0.002516498058199285,4.030125742671519e-09,4.023487208904419e-09,0.7003424376585425,0.02930367871465111,-0.6997291078691082,0.0008862803058691828
50034.66937312904,16.90654782935447,-87.68407919634642,789.8634543035736,31.91793794486595,-789.2182978629685,19546.50947445451,790.5091381354392,5.11600294316951e-05,0.001265007514471855,-0.002510419172489239,-0.002514525197625005,4.030435278727855e-09,4.023853889693391e-09,0.7003231261338216,0.02917949618181849,-0.6997149691127266,0.0008866375177995045
50052.01307339279,16.902324428993,-87.6547312458847,789.4693952018227,32.30606046163824,-788.8081163488246,19292.41501607486,790.1312284224958,5.183384242806193e-05,0.001265612551470101,-0.002508244986746792,-0.002512452206673802,4.031133785049641e-09,4.024383461065825e-09,0.7005115489345852,0.02954615145023258,-0.6998881733000006,0.0008873187473125892
50069.36278556673,16.89096204872838,-87.61323096425936,788.4751045389123,32.83599154819505,-787.7910815290406,18933.27903819071,789.159721472083,5.281705287197634e-05,0.001267170602846557,-0.002504143008290893,-0.002508493489306221,4.034939315270288e-09,4.027941518798453e-09,0.7004594733548223,0.03005115523935259,-0.6998145482063768,0.0008883716363866056
50086.7185117348,16.89257323753547,-87.65755799115549,788.682640560821,32.23498758905988,-788.0236120175095,19296.433907519,789.3422202533802,5.182304693150284e-05,0.001266877628411918,-0.002504014174862193,-0.00250820416823721,4.032350934376112e-09,4.02561483054743e-09,0.7005132720691732,0.02951230472993968,-0.6998913260032493,0.0008882060807861454
50104.08025398164,16.88110591326836,-87.6901569264587,787.8093776736898,31.7514339586243,-787.1692714989437,19546.94759170169,788.4500043666141,5.115888275182833e-05,0.001268311236554981,-0.002500432698775012,-0.00250450092965834,4.035328595842336e-09,4.028773737657387e-09,0.7004750231574273,0.02911280636799755,-0.6998697754388152,0.0008891420789618172
50121.44801439264,16.87376352251032,-87.69637915138497,787.2254477556578,31.64247749117764,-786.5892569901499,19585.18911064671,787.8621530701332,5.105899127909823e-05,0.001269257567587439,-0.002497724495050796,-0.002501766431411322,4.036904835893033e-09,4.030382679293873e-09,0.7004819166281224,0.0290373927419007,-0.6998798077854229,0.0008898103624160671
50138.82179505389,16.86421472502613,-87.67692588309305,786.4190230302435,31.87685349598354,-785.7727063184609,19401.37786377716,787.0658713528704,5.154273098649473e-05,0.00127054168703964,-0.002494267034603836,-0.002498371909830086,4.039699566609122e-09,4.033062259086082e-09,0.7004545204271838,0.02927417735825053,-0.6998425235200229,0.0008906879715436356
50156.2015980522,16.86066834988103,-87.6050746491734,786.0076316437434,32.84502817303895,-785.3210815497816,18809.78739757447,786.6947819393838,5.316381194871721e-05,0.001271141010411649,-0.00249196964803202,-0.002496328654503135,4.040622113368694e-09,4.033566512773904e-09,0.7003896853231178,0.03014929977382192,-0.6997404740546057,0.0008910716649192588
50173.58742547514,16.85493736595354,-87.69571599672545,785.7016513008926,31.59031513037927,-785.0663263998226,19541.65643201477,786.3374903467125,5.117273469007043e-05,0.001271718584292705,-0.002490298041516689,-0.002494330283100535,4.040532716426227e-09,4.034000941484294e-09,0.7004425819040186,0.02904477927900698,-0.6998401327024635,0.000891486003575772
50190.97927941096,16.855969128129,-87.62383935265157,785.6603072444799,32.57342911215124,-784.984770613651,18949.86604739217,786.3364252238352,5.277082157198769e-05,0.001271720306884352,-0.002489176507187017,-0.002493462586391932,4.039552261749132e-09,4.032608567851041e-09,0.7004094510816032,0.02992158501294297,-0.6997700321639574,0.0008914907466758897
50208.37716194867,16.84943100111116,-87.62176302082361,785.1286087314739,32.5798125779324,-784.4523491334618,18920.51805927669,785.8054513184265,5.285267543240985e-05,0.001272579616649639,-0.002486626257246553,-0.002490915439917225,4.040893266669567e-09,4.033935130276943e-09,0.7002731094088285,0.0299414202556046,-0.6996327172982881,0.0008919208193417559
50225.78107517795,16.84356180773441,-87.63095833842397,784.6708170953276,32.4349933428223,-784.0001673519592,18982.84006700135,785.3420405261733,5.267915635755375e-05,0.001273330534209028,-0.002484331738558142,-0.002488583852594137,4.041822869949843e-09,4.034916817040111e-09,0.7004088699255538,0.02983522578699642,-0.6997731377901201,0.0008926141978916172
50243.19102118928,16.83103743199447,-87.6595351511273,783.7105628873313,32.0047474744789,-783.0567939302184,19190.97305394934,784.3648776718384,5.210783200981092e-05,0.001274916851157605,-0.002480482567739901,-0.002484626173852999,4.045289948859979e-09,4.038543626882957e-09,0.7003007468315887,0.02948195790472,-0.6996798912152509,0.0008935699246362624
50260.6070020738,16.8229694160981,-87.62571397911573,783.0021480237776,32.43762542032551,-782.3299586919451,18900.65489891515,783.6749149105062,5.290821960128999e-05,0.001276039312951848,-0.002477321454744147,-0.002481580385210653,4.047645235360186e-09,4.040698597760528e-09,0.7005672543647845,0.02990665056374566,-0.6999286178891893,0.0008947187403222229
50278.02901992342,16.82167445903084,-87.64835212110202,782.9371348060164,32.12584876383841,-782.2777555954517,19080.91398812319,783.5970698050337,5.240839095142112e-05,0.001276166078886448,-0.002476297780577544,-0.002480474065568014,4.046512686054784e-09,4.039699718151146e-09,0.7003893646136761,0.0296228819824219,-0.6997626361324276,0.0008945658270844067
50295.45707683073,16.82227610016028,-87.60680972195965,782.9134739704691,32.69204403951398,-782.2306168778022,18749.31732575817,783.5969271709832,5.333527523299108e-05,0.001276166311180285,-0.002475290544109111,-0.002479614096366026,4.045354280736879e-09,4.0383006425695e-09,0.7002790609701678,0.03012579943718697,-0.6996307593591996,0.0008944519731642876
50312.8911748891,16.81327512367265,-87.64974569614846,782.263795383726,32.07920940498001,-781.6057637275351,19075.80195767401,782.9223810348856,5.242243561863515e-05,0.001277265823820461,-0.002472456222282031,-0.002476621082375179,4.047185440374734e-09,4.04037940886263e-09,0.7003333469571252,0.02960410712614122,-0.6997073629035448,0.000895264220712106
50330.33131619257,16.80726178183155,-87.61076740067973,781.7128223059191,32.58795911772233,-781.0332652826172,18751.55588449122,782.3929705943673,5.33289080735464e-05,0.001278130092657046,-0.002469789123938072,-0.002474088794054563,4.048748600282052e-09,4.041712359946762e-09,0.7005644879815133,0.03009034539799199,-0.6999179758619073,0.0008961909126043422
50347.77750283595,16.79258575756839,-87.65531089272697,780.611787604388,31.93570560631466,-779.9582512252467,19080.67322697358,781.2658715895047,5.240905224383487e-05,0.001279973996516033,-0.002465535069165987,-0.002469668603057281,4.052924098129052e-09,4.046140637749906e-09,0.7001053370587862,0.02952714076248477,-0.6994824021636206,0.0008968667752528362
50365.22973691474,16.79532829918994,-87.61479103135666,780.7615071789186,32.49351893239044,-780.0850609514881,18760.31132117986,781.4385399827642,5.330401947386814e-05,0.001279691170622397,-0.002465081448671998,-0.002469358464369614,4.050861094687711e-09,4.043844860819348e-09,0.7003702820260794,0.03003347899949893,-0.6997260335906309,0.0008970341321900182
50382.68802052521,16.77450080955218,-87.66067546199278,779.171786133367,31.80390108114053,-778.5224365310755,19089.12591437634,779.8216773448484,5.238584545387084e-05,0.0012823444500861,-0.002459291057106551,-0.002463395256503265,4.057585353122057e-09,4.050825114660756e-09,0.7003167108497769,0.02947115734370901,-0.699696324401002,0.0008987955698352233
