#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.56239757155917,-88.18343720174029,763.3034248186727,4.152960598985339e-05,0.001309436596285478,-0.002428449204112611,-0.002430891935407571,4.172258718475517e-09,4.168066139285205e-09,0.7027637512756036,0.02315996271108976,-0.7023820230004321,0.0009206865496159247
50017.33168269227,16.54807641994191,-88.177962295295,762.1756028487385,4.171636738449035e-05,0.001311370242186035,-0.002424013434996057,-0.002426466433824899,4.176997372299674e-09,4.172774701209114e-09,0.7023715400772227,0.02321442157900884,-0.7019877997096543,0.0009215343322560997
50034.66937312904,16.52970792165262,-88.17146634732624,760.7326265323017,4.194445525321746e-05,0.001313852934409008,-0.002418577110044169,-0.002421042102216161,4.183485386997084e-09,4.179225957257653e-09,0.7025017305362681,0.02329863342550365,-0.702115271936849,0.0009234534588147846
50052.01307339279,16.53261589205879,-88.1152396865095,760.8613961550061,4.322645479392711e-05,0.001313588788105858,-0.00241807136962896,-0.00242068985098468,4.181460991702603e-09,4.176937868824226e-09,0.7023406876405889,0.02398244311282455,-0.7019311105356389,0.000923085512815373
50069.36278556673,16.5208218325824,-88.16988454868077,760.0382747819591,4.201908008744739e-05,0.001315052077684663,-0.002414693127329624,-0.002417158423624837,4.184409588470598e-09,4.180141846085454e-09,0.7025350334559792,0.02331973471784514,-0.7021478926876326,0.0009243409189215057
50086.7185117348,16.52706637753709,-88.11316767256918,760.4256225886513,4.32987574941055e-05,0.001314339995334898,-0.002415009035879195,-0.002417629958388038,4.180963196280841e-09,4.176430666183853e-09,0.7025777928936603,0.02401654462999737,-0.7021671885323055,0.0009239263058416497
50104.08025398164,16.50432877743346,-88.18581695650148,758.7842088409963,4.172223987389675e-05,0.001317237157352992,-0.002409059789146937,-0.002411476667900308,4.188384039616961e-09,4.184186272941024e-09,0.7025052488182598,0.02312411765508773,-0.7021245614560702,0.0009258293514237875
50121.44801439264,16.51285361101569,-88.15578172590953,759.3941566023469,4.237868177643819e-05,0.001316157113705828,-0.002410120516657854,-0.002412619240011773,4.18363979025471e-09,4.179306840291068e-09,0.7022603404042734,0.02348429420724786,-0.7018675613178839,0.0009247632171388473
50138.82179505389,16.50661031923544,-88.19340547281823,758.9744519770441,4.153736427702339e-05,0.001316912494066778,-0.00240800419864915,-0.002410399837095784,4.184415236630007e-09,4.180256446929114e-09,0.7025572553343775,0.02303344289163725,-0.7021795764129938,0.0009256658057647334
50156.2015980522,16.48948722897541,-88.18335788334703,757.6285425723338,4.184250245793582e-05,0.001319244640980798,-0.002402887767002343,-0.002405304997748975,4.190419462763017e-09,4.186208266770758e-09,0.7025445046492529,0.02315646562511615,-0.7021627725197462,0.0009272933992127304
