#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.92181354360099,-88.07220853203816,791.7787093256102,4.248656855595233e-05,0.001262264322836062,-0.002518883454313222,-0.002521737170457374,4.02246413857854e-09,4.017912129358065e-09,0.702294284040313,0.02450707460268922,-0.7018665576091471,0.0008869823365670013
50017.33168269227,16.9234172887802,-88.08523120303528,791.9318389139229,4.219150949786801e-05,0.001262029871022451,-0.002518516811250994,-0.002521331664204828,4.020262125377003e-09,4.015773843696548e-09,0.7023452157350001,0.02434961923499251,-0.701923000128187,0.0008868751405106903
50034.66937312904,16.9110826840355,-88.06656555291337,790.8958424110706,4.26584529401151e-05,0.001263669177116192,-0.002514323039066704,-0.002517188302070914,4.024177418726262e-09,4.01959678140534e-09,0.7021712923633413,0.0245725077143418,-0.7017412027833577,0.0008878169534337251
50052.01307339279,16.90527218623182,-88.0956656156041,790.474075970627,4.203905857477669e-05,0.001264364936559579,-0.002512154173134026,-0.002514931374471312,4.024860900412957e-09,4.020416306342327e-09,0.7021981589100107,0.02421732831322584,-0.7017804324615913,0.000888324645651538
50069.36278556673,16.90503301773091,-88.04021083733222,790.358308206587,4.326911456294458e-05,0.001264508847934504,-0.002510833911841896,-0.00251377379626328,4.024186955400806e-09,4.019480627187619e-09,0.7021777596128581,0.02489613071334946,-0.7017362672474871,0.0008884289523829889
50086.7185117348,16.89128807414876,-88.07242226916983,789.2983301655685,4.261535952101836e-05,0.001266231162097316,-0.002506645494771155,-0.002509484716018252,4.028118024171746e-09,4.023560627106508e-09,0.7021477873101483,0.02450087400979798,-0.7017201881072634,0.0008895840828087139
50104.08025398164,16.88894564358528,-88.03055226314639,789.0355935216077,4.355516949591506e-05,0.001266621306900096,-0.002504880524942722,-0.002507842441733543,4.02816320813415e-09,4.023405698633636e-09,0.7021738571026672,0.02501489799735824,-0.7017281385811878,0.0008899133401004733
50121.44801439264,16.87756352367902,-88.08726859265657,788.2115493743657,4.234556117133018e-05,0.001267988048152206,-0.002501481357209076,-0.00250427121930086,4.030841990383176e-09,4.026351465083731e-09,0.7022624841712368,0.024323630490288,-0.7018411199652871,0.0008909561496005786
50138.82179505389,16.87375668808168,-88.08267008741706,787.8952560444569,4.246436865103805e-05,0.001268493666269045,-0.002499604406262656,-0.002502405605622239,4.031073650474974e-09,4.026561256120209e-09,0.7020886887985751,0.02437423233687826,-0.7016654642612036,0.0008910932336426051
50156.2015980522,16.87291742679803,-88.06239982745099,787.7920723022714,4.291875788950238e-05,0.001268644707011264,-0.002498381275814962,-0.002501240663101189,4.030252613223448e-09,4.025645278450532e-09,0.702064231529276,0.02462191668212793,-0.701632344188672,0.0008911789018037197
50173.58742547514,16.85854655907939,-88.03233170273282,786.5774301715976,4.365182491448214e-05,0.001270581030125155,-0.002493620190957503,-0.002496563462836036,4.035149677921348e-09,4.03039252163452e-09,0.7018707469418535,0.02498354068818097,-0.701425953403064,0.0008923090875752484
50190.97927941096,16.86477990294794,-88.01119620190676,787.0446448273141,4.409432770728438e-05,0.001269810593639766,-0.002494204995900883,-0.002497212593322069,4.031408246726045e-09,4.026552891968093e-09,0.7022036214704208,0.02525456215257513,-0.7017493377956661,0.0008922023261522873
50208.37716194867,16.85620243813059,-88.04703720150117,786.413449366481,4.333475111276919e-05,0.00127085713237259,-0.002491394735933978,-0.002494291557162368,4.033159079411981e-09,4.028475047665506e-09,0.7019514107874789,0.02480697622822501,-0.7015129343333195,0.0008925977201898337
50225.78107517795,16.84239531987259,-88.05884762292509,785.3192003057927,4.313280428807575e-05,0.001272636838925121,-0.002487083431048372,-0.0024899403423871,4.037351024132676e-09,4.032718642495688e-09,0.7019790570404553,0.02466365047671721,-0.7015456513075746,0.0008938766524507791
50243.19102118928,16.84159962976186,-88.05613135952022,785.2502536377094,4.3196929526374e-05,0.001272746532749397,-0.002485999349282734,-0.002488863018962276,4.036312882582099e-09,4.031668727105913e-09,0.7019577424848963,0.02469646618485983,-0.7015231691059619,0.0008939279926323199
50260.6070020738,16.83531954644097,-88.02759268436952,784.6942640631105,4.386192741063076e-05,0.001273626638946013,-0.002483336046436934,-0.002486281326841194,4.037841917181452e-09,4.033058638416581e-09,0.7021442567062589,0.02505284942650991,-0.7016971654219486,0.000894799068617276
50278.02901992342,16.81822501035072,-88.09913978937239,783.4418534508745,4.233904978679378e-05,0.00127571652401675,-0.002478618038962982,-0.002481348169786579,4.042724706283794e-09,4.038276653621806e-09,0.7019676175863568,0.02417082305083032,-0.7015513576730581,0.0008960040291104423
50295.45707683073,16.81930723793892,-88.07320770428987,783.4838511904416,4.291413458390902e-05,0.001275628848424184,-0.002477854514309422,-0.002480658836164711,4.041168333674366e-09,4.036599895437794e-09,0.7020024956115568,0.02448986689519447,-0.7015751921671044,0.0008960005159109816
50312.8911748891,16.8061506741226,-88.06086695896421,782.4045903880275,4.324846240364434e-05,0.001277379184765275,-0.002473565824194657,-0.002476401294774761,4.045369937968667e-09,4.04073800393239e-09,0.7019446183049736,0.02463925204595463,-0.7015120486676839,0.0008971624985959073
50330.33131619257,16.79947112933541,-88.01264856144904,781.7843993541376,4.435861257918977e-05,0.001278355653901168,-0.002470677376165225,-0.002473652250010852,4.047293003531106e-09,4.04242563136845e-09,0.70191857165205,0.02522898585661483,-0.701465023720143,0.0008978409018959411
50347.77750283595,16.79949060208774,-88.0239565518973,781.8055500804043,4.410512007785662e-05,0.001278329799217908,-0.00246990493926616,-0.002472845109188089,4.045753477287284e-09,4.040943146611391e-09,0.701952716749737,0.0250920711579865,-0.7015041015684363,0.0008978602861199431
50365.22973691474,16.7884295947752,-88.07125340701185,781.0002099510973,4.309425352628927e-05,0.001279683977941444,-0.002466575117499496,-0.002469372343817898,4.04840803947819e-09,4.043822131830843e-09,0.7018571592882765,0.02450995162384473,-0.7014290657761525,0.0008986637752053726
50382.68802052521,16.79167391781677,-88.02246926770339,781.1756398088796,4.417389440145719e-05,0.00127935944942578,-0.002466202661599283,-0.002469142848761714,4.04621385247738e-09,4.041395732686752e-09,0.702019973567916,0.02511330220482329,-0.7015706417322968,0.0008986703822995901
50400.15235576432,16.78542144343049,-88.02392853086499,780.6768075587183,4.416951560288152e-05,0.001280178052327858,-0.002463775967200282,-0.002466708924451146,4.047392756560446e-09,4.042580340383256e-09,0.7019396923850904,0.02509287195465348,-0.7014910402298398,0.0008991417736062017
50417.62274472975,16.7704833439486,-88.02015951984873,779.4739270393866,4.432201987981239e-05,0.001282150704310409,-0.002459121735027839,-0.002462060338356626,4.052243239349251e-09,4.047406665977472e-09,0.701782483390299,0.02513369482200712,-0.7013322688840501,0.0009003276386268557
50435.09918951995,16.76629943275625,-88.04338211165343,779.1795017531954,4.381889827849009e-05,0.001282653050835054,-0.002457375298812334,-0.002460243278028065,4.052313311719364e-09,4.047589408820236e-09,0.7019511009807999,0.02485571398020628,-0.7015108991674266,0.0009008842450136797
50452.58169223407,16.76000400374838,-88.00852504747625,778.6156300047337,4.463151710442209e-05,0.001283555030422067,-0.002454694590543284,-0.002457662507727706,4.053927795232116e-09,4.049032199547174e-09,0.7019533707441348,0.02528287786333892,-0.7014979050474778,0.0009015395780500376
50470.07025497198,16.74439793786721,-88.05410431182086,777.4485769606704,4.367588950491037e-05,0.001285516967413397,-0.002450232982109512,-0.002453061345923623,4.058495448074525e-09,4.053816029158182e-09,0.7017925604872575,0.02471946660221632,-0.7013570744821519,0.0009026860641541659
50487.56487983429,16.7373736827605,-87.98536351243135,776.7690320523885,4.525771933890554e-05,0.001286588210812785,-0.002447141492944423,-0.002450169558516189,4.060806858213408e-09,4.055788271071875e-09,0.7017687423344272,0.02556034487139269,-0.7013030988721632,0.0009034451021297931
50505.06556892233,16.74008091454887,-88.03602999566905,777.0727853390206,4.4102729512377e-05,0.001286124793640922,-0.002447325309837945,-0.002450203082071812,4.05768830365168e-09,4.052922534308162e-09,0.7018910846434531,0.024944831184834,-0.7014476816549635,0.0009032493899608695
50522.5723243382,16.72494712792887,-88.0516237877677,775.8940831731403,4.381915933480893e-05,0.001288090588206585,-0.002442789048940174,-0.002445616019158682,4.062406611733114e-09,4.057710738621033e-09,0.7017435500464483,0.02474902751447386,-0.7013069910309463,0.0009044314161704796
50540.08514818464,16.72451724216499,-88.0611283340196,775.8763213668994,4.360648126106035e-05,0.001288127327327704,-0.002441900434872772,-0.002444698852010132,4.061069037955684e-09,4.056420381462689e-09,0.7020146090213912,0.0246425139383724,-0.701581967973988,0.0009048014786299229
50557.60404256522,16.71305777071606,-87.99296349794935,774.8463678176246,4.519893647258839e-05,0.001289786691890493,-0.002437713946899404,-0.002440707613216875,4.065224672200231e-09,4.060238443572019e-09,0.7018769262845392,0.02547248103317934,-0.7014145510043592,0.000905826482435786
50575.12900958415,16.70980017603992,-88.02029329703403,774.6348495471566,4.459588340440832e-05,0.001290160293964073,-0.002436244472877649,-0.002439155344590208,4.064858179480809e-09,4.060007204852868e-09,0.7017443074654116,0.02513346600601836,-0.7012940766516101,0.0009059026212076577
50592.66005134645,16.69786254433506,-88.04930826404352,773.7371794965737,4.399351288810929e-05,0.001291679549113197,-0.002432620335664156,-0.002435442238458039,4.068093272804156e-09,4.063379646838806e-09,0.7016760329162395,0.02477622096325814,-0.7012384715942582,0.0009068653858059644
50610.19716995779,16.6959792612735,-88.0250507409792,773.5455830415945,4.455140403803504e-05,0.001291980734027874,-0.002431139956750896,-0.002434030774262794,4.067749904720731e-09,4.06291877325644e-09,0.7016430401950973,0.02507223471252554,-0.7011949364483024,0.0009070473519479202
50627.74036752465,16.68433953805273,-88.05626798596334,772.6768273256679,4.389676959151518e-05,0.001293457475617877,-0.002427613357039447,-0.002430409377405475,4.0708364677363e-09,4.066153247791393e-09,0.701779336143596,0.02469529469051943,-0.7013446934698335,0.0009082435804145089
