#Digilent WaveForms Impedance Analyzer - Input
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB)
50000.00000000001,19.8271538727896
50017.33168269227,19.81124062834811
50034.66937312904,19.80347916014507
50052.01307339279,19.79685934178446
50069.36278556673,19.80250025801363
50086.7185117348,19.79231485311824
50104.08025398164,19.79113252913798
50121.44801439264,19.77933778551468
50138.82179505389,19.77439872888227
50156.2015980522,19.76684708887901
50173.58742547514,19.75198844122554
50190.97927941096,19.75638060939472
50208.37716194867,19.74005426756809
50225.78107517795,19.73117787540897
50243.19102118928,19.72643862190832
50260.6070020738,19.7317572357272
50278.02901992342,19.71287886264476
50295.45707683073,19.70971218888588
50312.8911748891,19.70874008111115
50330.33131619257,19.69832273349358
50347.77750283595,19.69391371996739
50365.22973691474,19.67280332867932
50382.68802052521,19.67063379999434
50400.15235576432,19.67528978412543
50417.62274472975,19.67092818620275
50435.09918951995,19.66179379154702
50452.58169223407,19.65553937426978
50470.07025497198,19.64723686223701
50487.56487983429,19.64179889884247
50505.06556892233,19.63795140487632
50522.5723243382,19.62883924913568
50540.08514818464,19.62126010861117
50557.60404256522,19.61575586780604
50575.12900958415,19.60393638016467
50592.66005134645,19.60505029488496
50610.19716995779,19.59257048353994
50627.74036752465,19.58645986207275
50645.28964615418,19.58096375503179
50662.84500795428,19.5671778492493
50680.40645503359,19.56688553783108
50697.97398950146,19.56647028046357
50715.54761346801,19.55588226491205
50733.12732904401,19.5467992902263
50750.71313834109,19.53869984698084
50768.30504347148,19.5283121209274
50785.90304654824,19.53669886240059
50803.5071496851,19.52083805874018
50821.11735499656,19.52207098450831
50838.73366459781,19.51630370727224
50856.35608060485,19.5002902753421
50873.98460513433,19.49692922402535
50891.61924030368,19.48454910956336
50909.25998823105,19.47343443648374
50926.90685103532,19.48341920745255
50944.55983083614,19.47347496811917
50962.21892975384,19.45122992604509
50979.88414990954,19.46426888823602
50997.55549342503,19.44799523995622
51015.2329624229,19.44180403487725
51032.91655902643,19.43356384106515
51050.60628535967,19.4241911649106
51068.30214354739,19.41810329416811
51086.00413571508,19.41859882209722
51103.712263989,19.4031132679293
51121.42653049613,19.39687249946281
51139.14693736417,19.39322667511624
51156.87348672161,19.38280514731694
51174.60618069761,19.38772330711273
51192.34502142212,19.38198281456469
51210.09001102581,19.36173762018554
51227.84115164009,19.36020112391415
51245.59844539708,19.3479685290469
51263.36189442969,19.33588000843088
51281.13150087155,19.33849104742223
51298.90726685703,19.33433614331653
51316.68919452121,19.31618181536579
51334.47728599996,19.31313910893753
51352.27154342984,19.31800908101844
51370.07196894819,19.29529593539489
51387.87856469309,19.28384268002083
51405.69133280334,19.27564468900023
51423.51027541847,19.27435239143743
51441.33539467879,19.27336333267146
51459.16669272532,19.25215567960836
51477.00417169987,19.250667182511
51494.84783374491,19.2426458134092
51512.69768100374,19.229116452294
51530.55371562033,19.2206635728752
51548.41593973945,19.21149679197701
51566.28435550658,19.21646089582601
51584.15896506795,19.20167299495515
51602.03977057055,19.19649253874403
51619.92677416209,19.18258647339965
51637.81997799105,19.1740908838108
51655.71938420663,19.16690329536706
51673.62499495879,19.15578922000277
51691.53681239823,19.15606660929467
51709.45483867639,19.14697183899055
51727.37907594546,19.13960091973946
51745.3095263584,19.13192714932868
51763.24619206888,19.12669242966017
51781.18907523134,19.11613012453798
51799.13817800094,19.11202014354597
51817.09350253361,19.093555868511
51835.05505098605,19.0870512730962
51853.02282551564,19.08229308049222
51870.99682828058,19.06693457256653
51888.97706143976,19.0588064069874
51906.96352715286,19.05594141861869
51924.9562275803,19.04969817308471
51942.95516488323,19.03735781215089
51960.96034122355,19.03897464256844
51978.97175876394,19.0239810844689
51996.98941966781,19.01577501489555
52015.0133260993,19.00633885188646
52033.04348022334,18.99915939951306
52051.07988420557,18.99784168342615
52069.12254021243,18.98966161226209
52087.17145041106,18.96936357955525
52105.22661696939,18.9590461364267
52123.28804205608,18.95344990224683
52141.35572784054,18.94206412606049
52159.42967649292,18.93795814679715
52177.50989018417,18.93230044271495
52195.59637108595,18.91979227362855
52213.6891213707,18.91292159841669
52231.78814321158,18.91180000199387
52249.89343878254,18.89862132527472
52268.00501025825,18.88895651182998
52286.12285981417,18.8788092136077
52304.24698962647,18.87166839753469
52322.37740187211,18.85783592405617
52340.5140987288,18.85208808092882
52358.65708237498,18.84726053271222
52376.80635498988,18.8299420705528
52394.96191875346,18.82138520240472
52413.12377584643,18.81879634372947
52431.29192845031,18.79602459038545
52449.4663787473,18.79688494606866
52467.64712892041,18.79192971398114
52485.83418115338,18.77888796584451
52504.0275376307,18.77343091996782
52522.22720053767,18.76437049432462
52540.43317206029,18.75163428259335
52558.64545438533,18.73721868108504
52576.86404970034,18.73461159970587
52595.08896019363,18.71112848767962
52613.32018805421,18.70760107757597
52631.55773547194,18.71200591816606
52649.80160463735,18.6922610812945
52668.0517977418,18.67965566820464
