#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,16.49500116941973,-88.19266554537103,758.0725934197508,4.160380722229147e-05,0.001318478652241359,-0.002411819607313109,-0.002414221008756396,4.201026616381759e-09,4.196847897307045e-09,0.7018494333297163,0.02301684860250449,-0.7014719180021772,0.0009258333375647946
50017.33168269227,16.48997122203759,-88.20300756894559,757.7005317578421,4.138613032667378e-05,0.001319133570465938,-0.002409814255550817,-0.002412186260908599,4.201609200823371e-09,4.197477579771892e-09,0.7019616205734736,0.02289419535846781,-0.7015881787608922,0.0009264360213983805
50034.66937312904,16.49071330414839,-88.20323696656068,757.7584071217414,4.137768830582161e-05,0.001319032984590348,-0.002409163529701172,-0.002411534288744377,4.19983196344104e-09,4.19570314401942e-09,0.7020312813990683,0.02289396377222922,-0.7016578842182376,0.0009264571924787825
50052.01307339279,16.48064299713119,-88.20366094953968,756.9789365224336,4.14105246619888e-05,0.001320391515683631,-0.00240585194531611,-0.002408218327644118,4.20269880985044e-09,4.198569121076209e-09,0.70196147665455,0.02288680147356912,-0.7015882760033449,0.0009273189615947777
50069.36278556673,16.47515576914165,-88.21174924165284,756.5682104757961,4.124650787831672e-05,0.001321114166170209,-0.002403723974280396,-0.002406067006529467,4.203504721558968e-09,4.199411341326827e-09,0.7020590492186288,0.02279123333712831,-0.7016890110816455,0.0009279513515713227
50086.7185117348,16.45806234826309,-88.17413480573198,755.1814474957672,4.21911396455031e-05,0.001323512755759717,-0.002398436959073336,-0.002400874290331458,4.209851695079662e-09,4.205577917327199e-09,0.7016888036227239,0.0232399277543596,-0.7013038449113634,0.0009291651034407591
50104.08025398164,16.46646350687443,-88.17416298757362,755.8305780546376,4.215425416472792e-05,0.001322376103012305,-0.002399666813486426,-0.002402105319214552,4.20477856118966e-09,4.200510065331071e-09,0.701902650529114,0.02324697138471957,-0.7015175757892553,0.0009286500368071462
50121.44801439264,16.45484747723864,-88.14943035415648,754.8902228622946,4.277829684307147e-05,0.001324005024100358,-0.002395817630442434,-0.002398318675235143,4.208615866532797e-09,4.204226984894093e-09,0.7017617339958067,0.0235453685887771,-0.7013666280333132,0.0009296201700192035
50138.82179505389,16.44491872825283,-88.18935422533923,754.1934285198994,4.189438607700023e-05,0.001325257777484571,-0.002392830065478577,-0.002395221303430471,4.210950708144531e-09,4.206746760420598e-09,0.7016450083664537,0.02305311965278194,-0.7012661915705301,0.0009303242707608433
50156.2015980522,16.43006308171875,-88.17576064642218,753.0251582816684,4.227429014840167e-05,0.001327303837598107,-0.002388277650306254,-0.002390700334255699,4.216054052337925e-09,4.211781594457599e-09,0.7016518124644877,0.0232200277580945,-0.7012674926485712,0.0009317766443659505
