Device,Single_ID,Multi_ID,Single_Intra_Hamming,Single_Match,Single_Predicted,Multi_Intra_Hamming,Multi_Match,Multi_Predicted
49,1010011101101011000101001001011101100001010110101000111101000010,0010010001001000100111011101000101101010000000101000110111100000,2.0,True,49,0.0,True,49
5,1000110011100011011001001100100100000101100100100011110001010111,0000110111100100001111011110010010110100010010110111111010010011,11.0,True,5,8.0,True,5
50,1011010011011011101011001111001110011000010010100100010000101111,0011011111011001011001011110100110010011000101100010101110011100,0.0,True,50,2.0,True,50
51,1001110100110100000110101011100101011000111100011010010000001111,0001111000110011110100110010110100001001101010011101110111000110,2.0,True,51,2.0,True,51
52,1011010011110001110101000110100110001110010001110010101101010011,0011011111111100010111000010100110010101101000111100010010100001,3.0,True,52,2.0,True,52
53,1010010110100100010011011100010110100010011010101010010010110010,0010011100110011100001111101100010110011101100101100101100111001,0.0,True,53,0.0,True,53
54,1011011011110101110000111110111111011111001000001001011011111100,0011010111111010010010111011010110011111000110001001101001011011,1.0,True,54,0.0,True,54
55,1011100100001010110100010100011000110100000101010001000111100011,0011101000001101010100101111011001010101010010011011100001101000,2.0,True,55,1.0,True,55
56,1001011101011100010101100011011110101010110101110111011000011010,0001010101001011000101010011111111001011111011111111101110110110,2.0,True,56,2.0,True,56
57,1000100100100000101001010001011111110100010100001100000010001100,0000101000100111010011001001100111000101001010000010110001000110,0.0,True,57,1.0,True,57
58,1001110010000000101110111001001110001001011111010000001110100001,0001111010000110111100011001001100011010000001011010100001110001,1.0,True,58,0.0,True,58
59,1010010111010111101101010101100010100001010101011100001000110101,0010111101010001011101001100011011111011001010011010100111011011,0.0,True,59,1.0,True,59
6,0101101110011001011011110000000101000111001010000110010110000111,1101101100011110001001110000100000110100100111001010100001110011,9.0,True,6,5.0,True,6
60,1001100111011011100100111111111101010011101101100111100100010001,0001101101011100010110101110111101000110110110110111011110101101,0.0,True,60,0.0,True,60
61,1011000001101001111010101011001001100000110111010000110000010100,0011000011101110001010010101101101100001111001111010001110000011,1.0,True,61,1.0,True,61
62,1011101000101010110110110110000111110101101000111011000100100000,0011100010001001010000100111001010000000000110001101000111110001,0.0,True,62,0.0,True,62
63,1011010101001101101010010110111001111101011011110000110010011010,0011011011000010111001001111011000001101001111111011111010000101,1.0,True,63,0.0,True,63
64,1010100011001101111100111111010110101011110110010011101011001011,0010101110000011001110011110100010101000011001000101010001010101,4.0,True,64,1.0,True,64
65,1010000111000000011110001100100101000000100011100110001001001000,0010001101000111101100011110000010110111010101110100100111000100,2.0,True,65,0.0,True,65
66,1010111100010111110000000010110110001010101011100001011101110101,0010110000110001010011001011000110111110110111111101000110111000,1.0,True,66,1.0,True,66
67,1011111000111111100011000011100000110000111110000101001110010010,0011110010110001110111000010010011010000001011100001000100101101,0.0,True,67,0.0,True,67
68,1011101000100101000000101110010000011111000111000100011100110011,0011000010100010110010110111010001011110010011100010111110111010,0.0,True,68,1.0,True,68
69,1011001011110111011111101001000111001110001111000010100111011000,0011000110110010101101110101101010101111100010101110010000101110,1.0,True,69,1.0,True,69
7,1100110101111001100011100010001110110110111110000101000111001011,0100111101111110110000110011001011010101101111100011100011100100,4.0,True,7,4.0,True,7
70,1010101100000001100001110101001011101010101100101001101000100110,0010100000000110110011100100001101111011100110100000001111010011,1.0,True,70,1.0,True,70
8,1011000000110011010110011000101100100011100100101000110010101001,0001000010110100000000001000000111110110101000111000111101011100,0.0,True,8,2.0,True,8
9,1011010010110101100011110111100010100001100111100101110111000100,0011011110111010011001101100011011100010000011100011111001100010,2.0,True,9,1.0,True,9
