,,,Combined_Authentication_Rate,Combined_Authentication_Rate,Descriptive_EER,Descriptive_EER,Descriptive_EER_Threshold,Descriptive_EER_Threshold,Device_Bootstrap_Authentication_Rate,Device_Bootstrap_Authentication_Rate,Device_Bootstrap_Authentication_Rate_CI95_High,Device_Bootstrap_Authentication_Rate_CI95_High,Device_Bootstrap_Authentication_Rate_CI95_Low,Device_Bootstrap_Authentication_Rate_CI95_Low,Device_Bootstrap_Inter_Mean,Device_Bootstrap_Inter_Mean,Device_Bootstrap_Inter_Mean_CI95_High,Device_Bootstrap_Inter_Mean_CI95_High,Device_Bootstrap_Inter_Mean_CI95_Low,Device_Bootstrap_Inter_Mean_CI95_Low,Device_Bootstrap_Intra_Mean,Device_Bootstrap_Intra_Mean,Device_Bootstrap_Intra_Mean_CI95_High,Device_Bootstrap_Intra_Mean_CI95_High,Device_Bootstrap_Intra_Mean_CI95_Low,Device_Bootstrap_Intra_Mean_CI95_Low,Devices,Devices,Empirical_Overlap_Coefficient,Empirical_Overlap_Coefficient,FAR_At_Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Fixed_Threshold,Fixed_Threshold,Fold_Count,Fold_Count,Inter_Count,Inter_Count,Inter_Max,Inter_Max,Inter_Mean,Inter_Mean,Inter_Mean_Normalized,Inter_Mean_Normalized,Inter_Median,Inter_Median,Inter_Min,Inter_Min,Inter_Q05,Inter_Q05,Inter_Q95,Inter_Q95,Inter_Std,Inter_Std,Intra_Count,Intra_Count,Intra_Max,Intra_Max,Intra_Mean,Intra_Mean,Intra_Mean_Normalized,Intra_Mean_Normalized,Intra_Median,Intra_Median,Intra_Min,Intra_Min,Intra_Q05,Intra_Q05,Intra_Q95,Intra_Q95,Intra_Std,Intra_Std,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Mean_Absolute_Bit_Correlation,Mean_Collision_Rate,Mean_Collision_Rate,Mean_Fit_Seconds,Mean_Fit_Seconds,Mean_Unique_Identifiers,Mean_Unique_Identifiers,Minimum_Balanced_Error,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Minimum_Balanced_Error_Threshold,Separation_Score,Separation_Score,Unique_Identification_Rate,Unique_Identification_Rate,Verification_Acceptance_Rate,Verification_Acceptance_Rate
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Scenario,ID_Bits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsupervised autoencoder,Multi-sweep,128,0.776497175141243,0.01308199379742942,0.022011222568123295,0.0005996564566004835,7.0,0.0,0.7764971751412428,0.013081993797429444,0.808135593220339,0.01140515514661747,0.7432655367231639,0.014744012494351446,64.21276605557478,0.00012297743919214272,64.22005699681002,0.0015648143059215206,64.20553368692109,0.0012000533850151126,1.4097175141242937,0.03297964226004421,1.8923163841807904,0.04809195423804469,1.0727514124293787,0.03165208895522274,295.0,0.0,0.04390637610976594,0.0011140449176131788,0.06217149006495254,0.0033044706953787957,0.00903954802259887,0.00039142391131500047,14.0,0.0,5.0,0.0,433650.0,0.0,127.0,1.0,64.21276605557478,0.00012297743919214272,0.5016622348091779,9.60761243688615e-07,65.33333333333333,0.5773502691896247,0.0,0.0,12.333333333333334,0.5773502691896258,110.0,1.0,30.89321545806072,0.6213909981761461,1475.0,0.0,93.0,1.7320508075688772,1.409717514124294,0.03297964226004434,0.011013418079096046,0.0002576534551565964,1.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.5773502691896258,4.066390284768242,0.11772972435109823,0.002994350282485856,1.7026219563900084e-05,0.4076310411851433,0.011884838317445226,0.05536723163841808,0.011229159998919656,7.928941973333228,0.14971702361404157,278.6666666666667,3.3126021996812747,0.02195318805488297,0.0005570224588065906,6.333333333333333,0.5773502691896257,62.80304854145049,0.0330748755596297,0.7767231638418078,0.012976160198829913,0.9909604519774011,0.00039142391131500237
Unsupervised autoencoder,Single-sweep,128,0.7529943502824858,0.008991574678906846,0.02393529728275491,0.000391739680977569,7.0,0.0,0.7529943502824858,0.008991574678906824,0.781752824858757,0.009155171010366484,0.7220296610169492,0.0085555453994061,64.2120450440063,8.895580120085916e-05,64.21374473461701,0.00020404537482883133,64.21025394903724,9.928673049580662e-05,1.668870056497175,0.0008530886367538171,2.0767994350282484,0.0009402993333769803,1.3682881355932206,0.007528766769671205,295.0,0.0,0.04684422921711057,0.0006557557683303392,0.061110150274799185,0.002951211996388193,0.0068926553672316385,0.0011027808641775778,14.0,0.0,20.0,0.0,1734600.0,0.0,126.66666666666667,1.1547005383792495,64.2120450440063,8.895580119806555e-05,0.5016566019062992,6.949671968598871e-07,65.33333333333333,0.5773502691896247,0.0,0.0,12.666666666666666,0.5773502691896258,110.0,1.0,30.798031534441716,0.6239745019750702,5900.0,0.0,99.0,3.4641016151377544,1.668870056497175,0.0008530886367537988,0.01303804731638418,6.664754974639053e-06,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.712401539209286,0.06750881417989697,0.0016949152542372614,0.0,0.4063384176247991,0.011630416179298908,0.048813559322033906,0.006101694915254252,2.7570549616665327,0.07674976662445913,280.59999999999997,1.79999999999999,0.023422114608555283,0.00032787788416516775,7.666666666666667,0.5773502691896257,62.54317498750913,0.0009387221871140851,0.7529943502824858,0.008991574678906846,0.9931073446327684,0.0011027808641775722
