Method,Scenario,Seed,ID_Bits,Fold,Training_Indices,Authentication_Index,Devices,Enrollment_Rows,Parameter_Count,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Final_Total_Loss,Final_Reconstruction_Loss,Final_Balance_Loss,Final_Decorrelation_Loss,Final_Quantization_Loss,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_3_test_4,3,4,295,295,2136226,2.8300310999984504,0.5364705084071305,86730,284,0.037288135593220306,8.120656271360515,0.0016949152542372614,0.39010466657401344,0.163753479719162,0.16013628244400024,0.006009314674884081,0.0488196462392807,0.2828536629676819,1.0610169491525423,0.008289194915254237,5.369636762602921,0,89,0.0,0.0,3.0,295,64.21464314539375,0.5016768995733887,29.957265315732172,0,124,13.0,66.0,109.0,86730,14,0.05663553557016027,0.006779661016949152,0.011714516315000575,5,0.011714516315000575,5,0.02342903263000115
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_3_test_5,3,5,295,295,2136226,2.620166699998663,0.5440050847552148,86730,284,0.037288135593220306,8.120656271360515,0.0016949152542372614,0.39010466657401344,0.163753479719162,0.16013628244400024,0.006009314674884081,0.0488196462392807,0.2828536629676819,1.2779661016949153,0.009984110169491526,5.286745967418623,0,89,0.0,1.0,3.3000000000000114,295,64.21392828317768,0.5016713147123256,29.969199940757775,0,124,13.0,66.0,109.0,86730,14,0.05682001614205004,0.003389830508474576,0.015173527037933818,5,0.014228064106998731,7,0.028052576962988584
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_4_test_1,4,1,295,295,2136226,2.5892531999998027,0.5115559325362082,86730,283,0.04067796610169494,8.118097330675214,0.0016949152542372614,0.393083271761034,0.16443610191345215,0.16068436205387115,0.007941590622067451,0.04854797199368477,0.28691667318344116,2.311864406779661,0.0180614406779661,3.0131844493441866,0,23,0.0,1.0,7.0,295,64.21028479188286,0.5016428499365848,30.29794261622585,0,126,13.0,66.0,109.0,86730,14,0.058641761789461545,0.010169491525423728,0.029684077020638765,9,0.029684077020638765,9,0.056843076213536264
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_4_test_2,4,2,295,295,2136226,2.6276796000020113,0.5093067795900486,86730,283,0.04067796610169494,8.118097330675214,0.0016949152542372614,0.393083271761034,0.16443610191345215,0.16068436205387115,0.007941590622067451,0.04854797199368477,0.28691667318344116,1.6372881355932203,0.012791313559322033,4.642377202486339,0,61,0.0,1.0,5.0,295,64.21226795803067,0.5016583434221146,30.240957201704564,0,125,13.0,66.0,109.0,86730,14,0.058180560359737114,0.010169491525423728,0.020903954802259886,7,0.01991237172835236,8,0.03866020984665053
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_4_test_3,4,3,295,295,2136226,2.6315832000036607,0.5469803390304274,86730,283,0.04067796610169494,8.118097330675214,0.0016949152542372614,0.393083271761034,0.16443610191345215,0.16068436205387115,0.007941590622067451,0.04854797199368477,0.28691667318344116,1.0338983050847457,0.008077330508474576,5.49510017269843,0,91,0.0,0.0,2.0,295,64.21408970367808,0.501672575809985,30.166383757711806,0,125,13.0,66.0,109.0,86730,14,0.05813444021676467,0.006779661016949152,0.01327683615819209,5,0.011806756600945463,6,0.023613513201890923
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_4_test_5,4,5,295,295,2136226,2.6672283000007155,0.6022166102874029,86730,283,0.04067796610169494,8.118097330675214,0.0016949152542372614,0.393083271761034,0.16443610191345215,0.16068436205387115,0.007941590622067451,0.04854797199368477,0.28691667318344116,0.7457627118644068,0.005826271186440678,1.516274753194913,0,19,0.0,0.0,2.0,295,64.21487374610861,0.5016787011414735,30.14572324896025,0,125,13.0,66.0,109.0,86730,14,0.05811138014527845,0.003389830508474576,0.011789461547330796,5,0.011789461547330796,5,0.023578923094661593
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_5_test_1,5,1,295,295,2136226,2.5636587999979383,0.5449549152942027,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.3942235072630875,0.16443470120429993,0.160823255777359,0.005849163047969341,0.048967570066452026,0.28292950987815857,2.328813559322034,0.01819385593220339,2.7237336099638694,0,17,0.0,2.0,8.0,295,64.20961604980975,0.5016376253891387,30.22635593737214,0,124,13.0,65.0,109.0,86730,14,0.060371267150928165,0.010169491525423728,0.032745301510434685,8,0.02703216879972328,9,0.05091663784157731
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_5_test_2,5,2,295,295,2136226,2.555574099998921,0.8286037289693368,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.3942235072630875,0.16443470120429993,0.160823255777359,0.005849163047969341,0.048967570066452026,0.28292950987815857,1.6745762711864407,0.013082627118644068,4.417328016984828,0,60,0.0,1.0,5.0,295,64.211714516315,0.5016540196587109,30.183810919200607,0,124,13.0,65.0,109.0,86730,14,0.05962181482762596,0.006779661016949152,0.01924362965525193,6,0.01814251124178485,7,0.0362850224835697
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_5_test_3,5,3,295,295,2136226,2.699915899996995,0.5793901697793675,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.3942235072630875,0.16443470120429993,0.160823255777359,0.005849163047969341,0.048967570066452026,0.28292950987815857,1.240677966101695,0.009692796610169491,5.210504781978062,0,88,0.0,1.0,3.3000000000000114,295,64.21337484146201,0.501666990948922,30.134388906181183,0,124,13.0,65.0,109.0,86730,14,0.05943733425573619,0.003389830508474576,0.010250201775625504,5,0.010250201775625504,5,0.020500403551251007
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_5_test_4,5,4,295,295,2136226,2.9587781000009272,0.5820711866964318,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.3942235072630875,0.16443470120429993,0.160823255777359,0.005849163047969341,0.048967570066452026,0.28292950987815857,0.7322033898305085,0.0057203389830508475,1.2881512193582123,0,14,0.0,0.0,3.0,295,64.21503516660901,0.5016799622391329,30.126656271050596,0,125,13.0,65.0,109.0,86730,14,0.059102963219185976,0.0,0.009817825435258849,4,0.008537991467773549,5,0.0170759829355471
Unsupervised autoencoder,Multi-sweep,20260903,128,test_1,"2,3,4,5",1,295,1180,2136226,7.78955169999972,0.579533559394511,86730,275,0.06779661016949157,8.057080381522672,0.0028336864406779453,0.395685903512663,0.16442252695560455,0.16083435714244843,0.005912326741963625,0.049963172525167465,0.2792920470237732,2.152542372881356,0.016816737288135594,3.311562712072285,0,30,0.0,1.0,7.0,295,64.20996195088205,0.501640327741266,30.388358360124357,0,127,13.0,65.0,109.0,86730,14,0.05841116107459933,0.010169491525423728,0.0316960682578116,9,0.03091779084515162,12,0.05499827049463853
Unsupervised autoencoder,Multi-sweep,20260903,128,test_2,"1,3,4,5",2,295,1180,2136226,7.749304999997548,0.5496047459142204,86730,286,0.03050847457627115,8.143554195096662,0.0028866525423728614,0.3990248796521009,0.16515739262104034,0.16144974529743195,0.006540665868669748,0.045633263885974884,0.292427122592926,1.1694915254237288,0.009136652542372881,4.465866548195152,0,59,0.0,0.0,2.3000000000000114,295,64.21270609938891,0.5016617664014759,30.43826846779756,0,124,13.0,65.0,109.0,86730,14,0.060509627579845494,0.010169491525423728,0.017283523578923092,6,0.015121641877089819,4,0.030243283754179638
Unsupervised autoencoder,Multi-sweep,20260903,128,test_3,"1,2,4,5",3,295,1180,2136226,7.589616199999,0.53138813582028,86730,280,0.05084745762711862,8.088419745922117,0.002568855932203369,0.39833877542121376,0.1638372391462326,0.16020041704177856,0.005783136934041977,0.046578649431467056,0.2881883680820465,1.0745762711864406,0.008395127118644067,5.626818473113115,0,91,0.0,0.0,3.0,295,64.21300588031824,0.5016641084399862,30.423116460454924,0,126,13.0,66.0,110.0,86730,14,0.06025596679349706,0.006779661016949152,0.01713939813213421,5,0.014222299089127175,6,0.02844459817825435
Unsupervised autoencoder,Multi-sweep,20260903,128,test_4,"1,2,3,5",4,295,1180,2136226,7.546104100001685,0.6399711863072668,86730,284,0.037288135593220306,8.124876991692165,0.003363347457627099,0.3877533813809847,0.1633821278810501,0.1597968339920044,0.004832801409065723,0.04648827388882637,0.2878771126270294,1.2033898305084745,0.009401483050847457,2.788336135034126,0,31,0.0,1.0,3.0,295,64.21427418424997,0.5016740170644529,29.8050942679907,0,125,14.0,66.0,109.0,86730,14,0.05456012913640032,0.010169491525423728,0.018257811599215957,6,0.01692609247088666,7,0.032872131903608895
Unsupervised autoencoder,Multi-sweep,20260903,128,test_5,"1,2,3,4",5,295,1180,2136226,8.142941700003576,0.5601722035030203,86730,284,0.037288135593220306,8.122318051006864,0.0032838983050847274,0.3895602001102874,0.16407208144664764,0.16045799851417542,0.004858237225562334,0.04537695273756981,0.2917388677597046,1.376271186440678,0.010752118644067797,2.534948843762628,0,27,0.0,1.0,5.0,295,64.21367462239132,0.5016693329874322,29.97086952557377,0,125,13.0,66.0,109.0,86730,14,0.058042199930819785,0.006779661016949152,0.017468004150812868,6,0.017468004150812868,6,0.033206502940159116
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_1_test_2,1,2,295,295,2136226,3.1972889000026044,0.5116755932557665,86730,288,0.023728813559321993,8.157113517130561,0.0016949152542372614,0.40533062288545907,0.16370181739330292,0.1597384363412857,0.011358555406332016,0.05045325309038162,0.28909116983413696,1.9050847457627118,0.014883474576271186,4.395940603023513,0,55,0.0,1.0,7.0,295,64.21159921595756,0.5016531188746685,30.596400998731998,0,123,13.0,65.0,109.0,86730,14,0.059310503862561974,0.010169491525423728,0.030785195434105846,8,0.024057419578000692,10,0.041773319497290434
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_1_test_3,1,3,295,295,2136226,2.5561224999983096,0.5083322032725722,86730,288,0.023728813559321993,8.157113517130561,0.0016949152542372614,0.40533062288545907,0.16370181739330292,0.1597384363412857,0.011358555406332016,0.05045325309038162,0.28909116983413696,2.2813559322033896,0.01782309322033898,5.9970648879965065,0,96,0.0,1.0,7.0,295,64.2105615127407,0.5016450118182867,30.56247762401321,0,124,13.0,65.0,109.0,86730,14,0.05957569468465352,0.006779661016949152,0.03091779084515162,8,0.026778508013374842,11,0.053557016026749685
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_1_test_4,1,4,295,295,2136226,2.858261699999275,0.5520383051450569,86730,288,0.023728813559321993,8.157113517130561,0.0016949152542372614,0.40533062288545907,0.16370181739330292,0.1597384363412857,0.011358555406332016,0.05045325309038162,0.28909116983413696,2.2915254237288134,0.017902542372881355,2.70482613117029,0,19,0.0,2.0,8.0,295,64.21028479188286,0.5016428499365848,30.570821239823797,0,124,13.0,65.0,109.0,86730,14,0.059460394327222416,0.006779661016949152,0.031649948114839156,9,0.026784273031246395,11,0.05356854606249279
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_1_test_5,1,5,295,295,2136226,2.609546200001205,0.5606044066815353,86730,288,0.023728813559321993,8.157113517130561,0.0016949152542372614,0.40533062288545907,0.16370181739330292,0.1597384363412857,0.011358555406332016,0.05045325309038162,0.28909116983413696,2.464406779661017,0.019253177966101695,2.7400880560770164,0,20,0.0,2.0,8.0,295,64.20975441023867,0.5016387063299896,30.57639770584936,0,124,13.0,65.0,109.0,86730,14,0.05989853568546062,0.003389830508474576,0.03503401360544218,9,0.0267323878704024,11,0.0534647757408048
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_2_test_1,2,1,295,295,2136226,2.7813821000017924,0.5601325425293723,86730,280,0.05084745762711862,8.095199406939068,0.0016949152542372614,0.41307709439915496,0.16291871666908264,0.15902704000473022,0.010429474525153637,0.051001522690057755,0.2860179841518402,1.8135593220338984,0.014168432203389831,4.408073052529293,0,57,0.0,1.0,6.0,295,64.21159921595756,0.5016531188746685,31.30657863678024,0,125,12.0,65.0,110.0,86730,14,0.06772742995503286,0.010169491525423728,0.025919520350513085,7,0.024754986740458895,9,0.04950997348091779
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_2_test_3,2,3,295,295,2136226,2.5565445000029285,0.5226077964495852,86730,280,0.05084745762711862,8.095199406939068,0.0016949152542372614,0.41307709439915496,0.16291871666908264,0.15902704000473022,0.010429474525153637,0.051001522690057755,0.2860179841518402,1.5457627118644068,0.012076271186440678,6.896004019727763,0,97,0.0,1.0,4.300000000000011,295,64.21256773895999,0.5016606854606249,31.241593844752185,0,125,12.0,65.0,110.0,86730,14,0.066701256773896,0.010169491525423728,0.019526115530958146,6,0.019526115530958146,6,0.03905223106191629
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_2_test_4,2,4,295,295,2136226,2.5863696000014897,0.4807257630183535,86730,280,0.05084745762711862,8.095199406939068,0.0016949152542372614,0.41307709439915496,0.16291871666908264,0.15902704000473022,0.010429474525153637,0.051001522690057755,0.2860179841518402,1.5491525423728814,0.012102754237288136,4.144924479316447,0,55,0.0,1.0,5.0,295,64.21245243860255,0.5016597846765825,31.26335817322923,0,125,12.0,65.0,110.0,86730,14,0.06688573734578578,0.006779661016949152,0.0237461086129367,7,0.021244090856681656,6,0.0377839271301741
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_2_test_5,2,5,295,295,2136226,2.522854999995616,0.5087732200528559,86730,280,0.05084745762711862,8.095199406939068,0.0016949152542372614,0.41307709439915496,0.16291871666908264,0.15902704000473022,0.010429474525153637,0.051001522690057755,0.2860179841518402,1.7220338983050847,0.013453389830508474,4.164641730947131,0,55,0.0,1.0,5.0,295,64.21176063645797,0.5016543799723279,31.26068779018711,0,125,12.0,65.0,111.0,86730,14,0.06679349705984089,0.006779661016949152,0.021249855874553213,6,0.01978554133517814,8,0.03957108267035628
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_3_test_1,3,1,295,295,2136226,2.655112899999949,0.5940054239945928,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.41379615796094915,0.16375425457954407,0.15979953110218048,0.011600451543927193,0.05017279088497162,0.2872978448867798,2.216949152542373,0.01731991525423729,5.852528744182926,0,93,0.0,1.0,6.0,295,64.20998501095353,0.5016405078980745,31.228504189486383,0,125,12.0,65.0,110.0,86730,14,0.06521388216303471,0.010169491525423728,0.024495560936238902,7,0.024495560936238902,7,0.047619047619047616
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_3_test_2,3,2,295,295,2136226,2.740100799994252,0.5500294917787946,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.41379615796094915,0.16375425457954407,0.15979953110218048,0.011600451543927193,0.05017279088497162,0.2872978448867798,1.4813559322033898,0.011573093220338983,6.544886215218739,0,88,0.0,0.0,3.0,295,64.2127291594604,0.5016619465582843,31.185916228609667,0,125,12.0,65.0,110.0,86730,14,0.06501787155540183,0.010169491525423728,0.020010377032168798,6,0.01706445289980399,4,0.03412890579960798
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_3_test_4,3,4,295,295,2136226,3.0294377999962308,0.7274769491247707,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.41379615796094915,0.16375425457954407,0.15979953110218048,0.011600451543927193,0.05017279088497162,0.2872978448867798,1.0338983050847457,0.008077330508474576,5.243609981289747,0,88,0.0,0.0,3.0,295,64.21404358353512,0.5016722154963681,31.133937719285893,0,125,12.0,65.0,110.0,86730,14,0.0646835005188516,0.006779661016949152,0.010250201775625505,4,0.010250201775625505,4,0.020500403551251007
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_3_test_5,3,5,295,295,2136226,2.7729435000001104,0.6526416947994128,86730,277,0.06101694915254241,8.0635215155223,0.0016949152542372614,0.41379615796094915,0.16375425457954407,0.15979953110218048,0.011600451543927193,0.05017279088497162,0.2872978448867798,1.2271186440677966,0.00958686440677966,5.352151023757999,0,90,0.0,1.0,3.0,295,64.21337484146201,0.501666990948922,31.12646015641813,0,125,12.0,65.0,110.0,86730,14,0.06463738037587917,0.003389830508474576,0.012291018102156116,5,0.012291018102156116,5,0.024582036204312232
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_4_test_1,4,1,295,295,2136226,3.7609863999969093,1.06790474582941,86730,283,0.04067796610169494,8.108420201955644,0.0016949152542372614,0.41515067501516384,0.16632337868213654,0.16233451664447784,0.011252342723309994,0.048994455486536026,0.2936292886734009,2.3796610169491523,0.018591101694915253,2.7525362244687295,0,16,0.0,2.0,7.300000000000011,295,64.20959298973827,0.5016374452323302,31.264418231768204,0,126,12.0,65.0,110.0,86730,14,0.0641415888389254,0.010169491525423728,0.029413121180675662,8,0.029413121180675662,8,0.054006687420731
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_4_test_2,4,2,295,295,2136226,2.8813987000030465,0.5771983047884147,86730,283,0.04067796610169494,8.108420201955644,0.0016949152542372614,0.41515067501516384,0.16632337868213654,0.16233451664447784,0.011252342723309994,0.048994455486536026,0.2936292886734009,1.5491525423728814,0.012102754237288136,4.102859998065558,0,57,0.0,1.0,4.0,295,64.21247549867405,0.501659964833391,31.22320041023058,0,126,12.0,65.0,110.0,86730,14,0.06365732733771474,0.010169491525423728,0.01973365617433414,7,0.01973365617433414,7,0.03946731234866828
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_4_test_3,4,3,295,295,2136226,2.810774699995818,0.5775715255521837,86730,283,0.04067796610169494,8.108420201955644,0.0016949152542372614,0.41515067501516384,0.16632337868213654,0.16233451664447784,0.011252342723309994,0.048994455486536026,0.2936292886734009,1.0271186440677966,0.008024364406779661,5.647762500440852,0,95,0.0,0.0,3.0,295,64.21432030439294,0.5016743773780699,31.193555458363928,0,126,12.0,65.0,110.0,86730,14,0.06381874783811829,0.003389830508474576,0.013121180675660093,5,0.013121180675660093,5,0.026242361351320187
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_4_test_5,4,5,295,295,2136226,3.1936149000030127,0.6394976272516079,86730,283,0.04067796610169494,8.108420201955644,0.0016949152542372614,0.41515067501516384,0.16632337868213654,0.16233451664447784,0.011252342723309994,0.048994455486536026,0.2936292886734009,0.7084745762711865,0.005534957627118644,1.0673395202850495,0,10,0.0,0.0,3.0,295,64.21533494753834,0.5016823042776433,31.143424759809644,0,125,12.0,65.0,110.0,86730,14,0.06316153580076098,0.0,0.009391214112763748,4,0.007880779430416235,5,0.01576155886083247
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_5_test_1,5,1,295,295,2136226,2.918949999999313,0.5779979659749542,86730,284,0.037288135593220306,8.127435932377464,0.0016949152542372614,0.4143141445368308,0.1642693728208542,0.16035737097263336,0.010755746625363827,0.05043739080429077,0.2869841456413269,2.4203389830508475,0.018908898305084746,3.098100123381354,0,23,0.0,2.0,7.0,295,64.20947768938083,0.5016365444482878,31.21423068305875,0,125,12.0,65.0,110.0,86730,14,0.06387639801683385,0.010169491525423728,0.03130404704254583,9,0.028283177677850803,8,0.05563242246050963
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_5_test_2,5,2,295,295,2136226,2.783345999996527,0.6061413556720145,86730,284,0.037288135593220306,8.127435932377464,0.0016949152542372614,0.4143141445368308,0.1642693728208542,0.16035737097263336,0.010755746625363827,0.05043739080429077,0.2869841456413269,1.7661016949152541,0.013797669491525423,4.54264038751729,0,63,0.0,1.0,5.0,295,64.2118759368154,0.5016552807563703,31.20515873415198,0,124,12.0,65.0,110.0,86730,14,0.06391098812406318,0.010169491525423728,0.017266228525308427,7,0.017266228525308427,7,0.03453245705061686
Unsupervised autoencoder,Single-sweep,20260904,128,enroll_5_test_3,5,3,295,295,2136226,2.7932258999935584,0.5906213558835404,86730,284,0.037288135593220306,8.127435932377464,0.0016949152542372614,0.4143141445368308,0.1642693728208542,0.16035737097263336,0.010755746625363827,0.05043739080429077,0.2869841456413269,1.264406779661017,0.009878177966101695,5.636185408271845,0,95,0.0,0.0,3.3000000000000114,295,64.2135593220339,0.5016684322033899,31.157950980181106,0,124,12.0,65.0,110.0,86730,14,0.06402628848149429,0.003389830508474576,0.012850224835696991,5,0.012850224835696991,5,0.02570044967139398
